Date/Time,BATIMENT0000000240879546_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879546_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,4287284.61715414,3333206.8589949985,3319573.7040397157,3398195.147474466,3674346.233162957,7430588.518544374 
 01/01  02:00:00,5016745.053499969,4053854.6195040224,4030161.3754247082,4101626.80876177,4387540.237379094,8537739.735203482 
 01/01  03:00:00,5390304.023965711,4426628.318321336,4395298.585266454,4460524.259563975,4750683.854767622,9085905.427089341 
 01/01  04:00:00,5614997.525024903,4652879.321080069,4614480.739206067,4673676.009150842,4967790.107424135,9464384.270845832 
 01/01  05:00:00,5782364.935211518,4825156.771358313,4781250.848058925,4835262.778643481,5131874.516827113,9733833.35719879 
 01/01  06:00:00,6066228.054078889,5114444.776812155,5065763.8230548045,5115163.822766472,5415110.383308537,10152006.767277729 
 01/01  07:00:00,6178020.9119851235,5231833.242695979,5178917.563345024,5224105.754416711,5526459.375605646,10364007.992204847 
 01/01  08:00:00,6346738.909013628,5406797.616198637,5349927.342900794,5391003.028029995,5696030.53289314,10650644.253152065 
 01/01  09:00:00,6731638.328319261,5799311.986306026,5739955.197803936,5778131.006277307,6087668.052633686,11193233.670538409 
 01/01  10:00:00,6859808.2314705625,5975050.48879968,5930946.299530735,5976873.943126848,6289850.286396863,11230576.763750818 
 01/01  11:00:00,5125858.482574689,4423685.43549981,4454122.2659301795,4542745.041520466,4843685.074538877,8428491.494910443 
 01/01  12:00:00,2372367.612855559,1856301.5940943796,1973803.6277991398,2114706.7021010267,2389199.237269137,4143777.5805412647 
 01/01  13:00:00,349273.1478730333,139511.9142249925,208353.79818474472,292506.2185107643,447673.4830636211,991548.194908927 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,8054.711745609529,0.0,0.0,0.0,0.0,922718.1748381059 
 01/01  18:00:00,1792170.8551176738,834225.849892502,904184.4767454924,1052316.3300910995,1360750.3658338946,3672562.0107012424 
 01/01  19:00:00,2482841.9353986597,1646151.7565769786,1682518.5288351844,1792823.226267274,2037900.0551276025,4703535.486693002 
 01/01  20:00:00,2997247.554859525,2115240.9468098865,2148339.580725067,2258858.9179470176,2515240.956888517,5414987.654357055 
 01/01  21:00:00,3313840.7719444255,2408779.2819442083,2435078.5658691805,2541926.8732646275,2804089.9505064795,5831146.531298847 
 01/01  22:00:00,3429988.956370272,2511008.857480003,2529064.422529578,2630285.572769225,2894629.6699250354,6002872.259470754 
 01/01  23:00:00,3542602.7823542543,2607381.443499442,2614075.5186839057,2707351.5376807335,2973932.7973450734,6258513.8010098 
 01/01  24:00:00,3599488.546882433,2656726.4502619975,2654186.940841813,2740535.8522961354,3008869.9079608317,6399646.231312051 
 01/02  01:00:00,3689830.100226542,2750086.331007941,2741757.8057200387,2822825.3671778743,3089679.924012264,6467277.565320113 
 01/02  02:00:00,3728926.875343974,2795900.112509926,2783005.2686751965,2859369.6109430604,3124140.788997701,6458230.473092668 
