Date/Time,BATIMENT0000000240879419_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F6_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879419_PART0_F7_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/02  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181580.78838286456 
 01/02  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578992.9360675648 
 01/02  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076603.1814987583 
 01/03  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635681.9274129057 
 01/03  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2283734.9373611985 
 01/03  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2783504.987740209 
 01/03  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177161.430920586 
 01/03  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3507959.5426322543 
 01/03  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785482.3624589834 
 01/03  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4052751.1797743165 
 01/03  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4279133.43440493 
 01/03  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4465743.92012975 
 01/03  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4546564.205113143 
 01/03  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402880.567350275 
 01/03  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4011109.9592005378 
 01/03  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571532.8796239486 
 01/03  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3197127.6204476757 
 01/03  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804598.4905053796 
 01/03  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376029.063727319 
 01/03  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162513.1852001417 
 01/03  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4778060.212699739 
 01/03  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5605807.5472082 
 01/03  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5952438.231367683 
 01/03  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6294119.684611692 
 01/03  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6755651.379979713 
 01/03  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7122441.291968873 
 01/03  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7835964.487414166 
 01/04  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8526823.370199392 
 01/04  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8937999.407196222 
 01/04  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8815958.79735368 
 01/04  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8684061.535445377 
 01/04  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8905686.744459884 
 01/04  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9078913.440693023 
 01/04  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256122.920745827 
 01/04  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9353567.811203735 
 01/04  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9397562.192255206 
 01/04  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9314238.360592654 
 01/04  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8592882.861171938 
 01/04  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7461258.290557653 
 01/04  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5955155.405595504 
 01/04  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875651.581633672 
 01/04  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116316.3156108493 
 01/04  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3482948.632032919 
 01/04  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3693713.4678510223 
 01/04  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875983.409520962 
 01/04  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5123301.705092583 
 01/04  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295798.407104119 
 01/04  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5311216.788559225 
 01/04  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5380368.231368035 
 01/04  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5376688.028774415 
 01/04  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5280079.747795086 
 01/05  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5443983.711675818 
 01/05  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5581794.029843722 
 01/05  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5607251.825559964 
 01/05  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5693759.3822964225 
 01/05  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5713958.845369005 
 01/05  06:00:00,2549.995900583599,0.0,0.0,0.0,0.0,0.0,0.0,5702557.921626977 
 01/05  07:00:00,39371.37003626049,0.0,0.0,0.0,0.0,0.0,0.0,5726857.328955529 
 01/05  08:00:00,90382.65457082744,0.0,0.0,0.0,0.0,0.0,0.0,5790471.118568654 
 01/05  09:00:00,105679.0499177616,0.0,0.0,0.0,0.0,0.0,0.0,5751579.813630108 
 01/05  10:00:00,81638.62795219029,0.0,0.0,0.0,0.0,0.0,0.0,5599261.486421732 
 01/05  11:00:00,19774.658228056796,0.0,0.0,0.0,0.0,0.0,0.0,5315722.152822068 
 01/05  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4793051.430658948 
 01/05  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4285803.531153493 
 01/05  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3685587.263102482 
 01/05  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3361832.839978717 
 01/05  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330261.3747732425 
 01/05  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254526.3861921635 
 01/05  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819092.2293675337 
 01/05  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4187116.1085815737 
 01/05  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4468773.494798506 
 01/05  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662480.71360577 
 01/05  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662912.867881727 
 01/05  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560847.965249371 
 01/05  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4351707.70198389 
 01/06  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4218169.612284159 
 01/06  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4273893.629125854 
 01/06  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373555.544265977 
 01/06  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566782.363487581 
 01/06  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4598092.561354817 
 01/06  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539357.839542502 
 01/06  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4554995.318269914 
 01/06  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4594609.251778239 
 01/06  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4608639.711911626 
 01/06  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4536222.795235156 
 01/06  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4228431.681906451 
 01/06  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3702039.3209049325 
 01/06  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229569.576761074 
 01/06  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755261.9094982883 
 01/06  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2487188.6816077502 
 01/06  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2559858.469712077 
 01/06  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022200.136079356 
 01/06  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3747619.894592787 
 01/06  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4266668.50564605 
 01/06  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4848992.381675403 
 01/06  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5204196.622223883 
 01/06  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5772744.659132412 
 01/06  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6331622.449409376 
 01/06  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6535142.241253583 
 01/07  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6467356.552426709 
 01/07  02:00:00,14449.702927342878,0.0,0.0,0.0,0.0,0.0,0.0,6518675.586454749 
 01/07  03:00:00,89090.48808262232,0.0,0.0,0.0,0.0,0.0,0.0,6658575.150729963 
 01/07  04:00:00,142084.9849124177,0.0,0.0,0.0,0.0,0.0,0.0,6607121.9392977655 
 01/07  05:00:00,215989.44656723907,0.0,0.0,0.0,0.0,0.0,0.0,6536310.313337194 
 01/07  06:00:00,294581.4971064225,0.0,0.0,0.0,0.0,0.0,0.0,6550276.228962575 
 01/07  07:00:00,325207.2937292302,0.0,0.0,0.0,0.0,0.0,0.0,6437594.795749669 
 01/07  08:00:00,319521.80971841735,0.0,0.0,0.0,0.0,0.0,0.0,6199248.56615673 
 01/07  09:00:00,353021.3373440158,0.0,0.0,0.0,0.0,0.0,0.0,6057388.080001351 
 01/07  10:00:00,314682.2050727788,0.0,0.0,0.0,0.0,0.0,0.0,5793261.560145466 
 01/07  11:00:00,61623.77370922113,0.0,0.0,0.0,0.0,0.0,0.0,4866265.954838194 
 01/07  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3476743.645949401 
 01/07  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352274.9949473357 
 01/07  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265638.615143882 
 01/07  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604453.4599532664 
 01/07  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609188.7420209714 
 01/07  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376756.845144034 
 01/07  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250660.915983316 
 01/07  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586760.0441868044 
 01/07  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2648119.9815663067 
 01/07  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2658475.851911738 
 01/07  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729819.919454314 
 01/07  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734372.5628121197 
 01/07  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752316.9359366493 
 01/08  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591773.825016473 
 01/08  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473910.9977555415 
 01/08  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461515.2485039337 
 01/08  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2446568.504947645 
 01/08  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2470144.1915330836 
 01/08  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628344.459324599 
 01/08  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2766853.642122101 
 01/08  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786943.302935974 
 01/08  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925796.2498434507 
 01/08  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094895.591383161 
 01/08  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804576.4023836963 
 01/08  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2289504.3473742427 
 01/08  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966861.2590786042 
 01/08  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616004.1998269162 
 01/08  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144559.2743862441 
 01/08  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585766.1397796404 
 01/08  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587865.2244391886 
 01/08  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080566.4137994512 
 01/08  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148764.580116721 
 01/08  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209710.089631143 
 01/08  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409650.3914257973 
 01/08  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2706943.6942642126 
 01/08  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2976628.4984803726 
 01/08  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3157845.95835861 
 01/09  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490532.3992379736 
 01/09  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4048606.631616572 
 01/09  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800650.8033485375 
 01/09  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5502020.1329673035 
 01/09  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6346920.511160166 
 01/09  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7349749.884890676 
 01/09  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8102528.138089571 
 01/09  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8373215.77681132 
 01/09  09:00:00,32156.207520815955,0.0,0.0,0.0,0.0,0.0,0.0,8111970.486412823 
 01/09  10:00:00,131010.96875218791,0.0,0.0,0.0,0.0,0.0,0.0,7581370.781678169 
 01/09  11:00:00,24876.39465940665,0.0,0.0,0.0,0.0,0.0,0.0,6707266.568425521 
 01/09  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5590106.282779092 
 01/09  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4517994.837629838 
 01/09  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969370.265919071 
 01/09  15:00:00,32479.802091067544,0.0,0.0,0.0,0.0,0.0,0.0,4140459.509149907 
 01/09  16:00:00,584947.3129795508,0.0,0.0,0.0,0.0,0.0,0.0,6307246.699802128 
 01/09  17:00:00,42216.399880209065,0.0,0.0,0.0,0.0,0.0,0.0,5226767.101896109 
 01/09  18:00:00,232834.93941017368,0.0,0.0,0.0,0.0,0.0,0.0,6346420.368925244 
 01/09  19:00:00,393444.1601734689,0.0,0.0,0.0,0.0,0.0,0.0,6822228.659565127 
 01/09  20:00:00,557291.4091268227,0.0,0.0,0.0,0.0,0.0,0.0,7145252.896322283 
 01/09  21:00:00,714794.1941700373,0.0,0.0,0.0,0.0,0.0,0.0,7495422.925321048 
 01/09  22:00:00,796358.575807463,0.0,0.0,0.0,0.0,0.0,0.0,7665665.2460178705 
 01/09  23:00:00,860143.3014446878,0.0,0.0,0.0,0.0,0.0,0.0,7549593.1863900665 
 01/09  24:00:00,977778.650781783,0.0,0.0,0.0,0.0,0.0,8340.024343937694,7601330.661160513 
 01/10  01:00:00,1089571.5934715963,0.0,0.0,0.0,0.0,0.0,175393.54860294698,7665236.293656735 
 01/10  02:00:00,1182936.7903319735,0.0,0.0,0.0,0.0,0.0,374230.71531284595,7741569.195632022 
 01/10  03:00:00,1253214.2536863184,0.0,0.0,0.0,0.0,0.0,539510.3173246513,7800133.470557878 
 01/10  04:00:00,1359419.6488820983,0.0,0.0,0.0,0.0,0.0,727032.8920679254,7913227.916084419 
 01/10  05:00:00,1473764.293062279,0.0,0.0,0.0,0.0,0.0,922207.662247878,8134208.787805115 
 01/10  06:00:00,1580507.4722956961,0.0,0.0,0.0,0.0,0.0,1123629.9210598648,8543087.90279308 
 01/10  07:00:00,1759622.6274868194,32741.99390346621,0.0,0.0,0.0,8212.573872056966,1396027.5652570352,9156785.698928237 
 01/10  08:00:00,1816480.9199296704,179830.90863454272,0.0,0.0,0.0,108353.74104854927,1489393.4986545881,9092826.754937736 
 01/10  09:00:00,1999043.4483787394,495606.8412255583,0.0,0.0,0.0,436190.71010512125,1693213.6946637044,9331361.244062707 
 01/10  10:00:00,2150696.4318157393,775255.5702972817,0.0,0.0,17539.82442074048,718508.430508348,1860937.1565006804,9921674.747526046 
 01/10  11:00:00,1753629.1868179382,487356.68714602216,0.0,0.0,0.0,337692.0018281017,1236852.810287469,9097439.666937878 
 01/10  12:00:00,1199294.6774127958,63697.152720087615,0.0,0.0,0.0,0.0,272043.7835322205,7526834.620375091 
 01/10  13:00:00,767034.1105213497,0.0,0.0,0.0,0.0,0.0,0.0,5649097.12363034 
 01/10  14:00:00,520846.70051458525,0.0,0.0,0.0,0.0,0.0,0.0,3908991.5390782007 
 01/10  15:00:00,432813.95379957394,0.0,0.0,0.0,0.0,0.0,0.0,3589298.770632975 
 01/10  16:00:00,511034.2765269998,0.0,0.0,0.0,0.0,0.0,0.0,4725975.217383751 
 01/10  17:00:00,652587.4016183036,0.0,0.0,0.0,0.0,0.0,0.0,5508604.806886224 
 01/10  18:00:00,829834.2103050463,0.0,0.0,0.0,0.0,0.0,0.0,5933154.276582045 
 01/10  19:00:00,915714.2727398489,0.0,0.0,0.0,0.0,0.0,6147.655806047261,6027055.846612314 
 01/10  20:00:00,1000945.3799762588,18422.16784004413,0.0,0.0,0.0,0.0,146748.27679864102,6210016.983416725 
 01/10  21:00:00,1059745.87942434,114560.18426962619,0.0,0.0,0.0,0.0,298910.63080527383,6330541.272313906 
 01/10  22:00:00,1122601.8563590639,222191.6311556779,0.0,0.0,0.0,56307.412001659395,443610.58956997155,6451671.435513637 
 01/10  23:00:00,1183400.64190298,324261.32380062994,0.0,0.0,0.0,192818.35582719432,575702.3043478389,6573153.907337224 
 01/10  24:00:00,1179308.8032994312,354789.0403415382,0.0,0.0,0.0,254943.1350990475,632850.0656404212,6589391.877485271 
 01/11  01:00:00,1286326.5196127815,494647.2463374157,123443.84804136353,32799.19729982721,168193.05346770852,434618.70218594995,818228.7315839683,7019433.194256732 
 01/11  02:00:00,1417556.782849385,653109.0945693702,327424.10361287766,207699.49585166905,376765.8841272452,618241.2191422773,1004826.3209765231,7345767.436837963 
 01/11  03:00:00,1507780.5698755803,768049.1231312962,484322.78195987956,382722.23898508237,532400.231788258,748187.5694902454,1127999.1467455258,7445387.318794085 
 01/11  04:00:00,1521761.8046615368,803591.3723301805,555532.4838791167,470429.2432879913,605269.3084704988,802613.2514135847,1180692.4422886397,7489324.156121301 
 01/11  05:00:00,1493227.0915428177,791976.0705043692,575717.2370011882,505574.00116596185,627008.8180244573,808043.8618147033,1183180.6679122364,7459435.061639479 
 01/11  06:00:00,1628681.227333197,944439.2609893985,756945.732791441,700388.4489385332,809968.5738725538,976354.612080144,1353180.9519260416,7786493.123130485 
 01/11  07:00:00,1709106.0631078891,1041497.0713445037,877975.9576633377,832583.9710409477,932244.6631167426,1085965.1440796566,1462843.5585920538,7951144.257268306 
 01/11  08:00:00,1728468.3183901538,1073773.960608292,931421.7936227877,895824.5324456593,986240.3014419638,1128082.888650766,1501709.2393602505,7971332.055658957 
 01/11  09:00:00,1783212.8853850793,1142507.2043316935,1020519.4072948457,995259.0873885085,1078785.5141438944,1212707.0608096686,1589982.783522074,8213617.136107242 
 01/11  10:00:00,1659789.9703059744,1030969.3910323565,923782.7371637526,902097.5581887332,973660.1528272383,1087742.3384219042,1451373.9076960194,7985641.068158588 
 01/11  11:00:00,1312554.8508186345,691759.0626620761,590574.781169215,558827.1981242833,604854.5894931668,668796.5415604151,971092.1756517048,6932265.971481626 
 01/11  12:00:00,1029354.3323902966,411271.71439322265,314499.14588421164,275105.42815688753,300835.54901156237,321175.82149246667,565853.10650756,6114847.451668344 
 01/11  13:00:00,883994.8462230467,262691.2814747702,171207.4857421816,131130.69894958026,146506.6087274863,150702.93120807837,384599.6702580793,5808589.62365496 
