cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.06.Gen.ReEx.001.001__f100,ES.ME.AB.06.Gen.ReEx.001.001,es,1.0,1,ATTEMPTED,True,COMPLETED,0,0,0,1758919.8244163266,4.665,True,False,False,ff2634b97ad7c299445913f898455ede56a1952814bd6b58f87e6d7342de988c,
es__ES.ME.AB.06.Gen.ReEx.001.001__f100,ES.ME.AB.06.Gen.ReEx.001.001,es,1.0,2,ATTEMPTED,True,COMPLETED,0,0,0,1758919.8244163266,4.573,True,False,False,19748fdfc05c92e6a2e7be2ccd64013b038cbbf7da57923bde177e4ce04c8253,
es__ES.ME.AB.06.Gen.ReEx.001.001__f100,ES.ME.AB.06.Gen.ReEx.001.001,es,1.0,3,ATTEMPTED,True,COMPLETED,0,0,0,1758919.8244163266,4.621,True,False,False,b6f1fbb621797d8e28ac2ad9a4d881879916f920a251f260490dfdceeaf8205d,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f000,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.0,1,ATTEMPTED,True,COMPLETED,0,0,0,97013.66146941375,4.505,True,False,False,5e6ba4cfa5b7690bcd11073c54ee7604e4773d816278214972a9f1a82cae3c85,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f000,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.0,2,ATTEMPTED,True,COMPLETED,0,0,0,93863.18539663547,4.563,True,False,False,b819abe6b2f015a28791c34f295806fb1b85863db16138e398c4c5ca00a1fb5f,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f000,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.0,3,ATTEMPTED,False,ENGINE_FAILED,1,29,1,None,2.919,True,True,False,f6b5d61aaa1302d0ccf9ecbff4147de5da26b8ffc44d79c2d1db03209dadeac7,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f015,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.15,1,ATTEMPTED,True,COMPLETED,0,0,0,102843.6857046811,4.536,True,False,False,2470fe8c39637310bff5bbf2671106b98fc892e41e4882845c1ceab0dbaef46c,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f015,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.15,2,ATTEMPTED,True,COMPLETED,0,0,0,102843.6857046811,4.633,True,False,False,9d8cac0e23864fc27877aff19cdfb1621fa2492d0bae82be5c753b25ec79baad,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f015,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.15,3,ATTEMPTED,True,COMPLETED,0,0,0,99517.40564727518,4.51,True,False,False,73c709ca2ace21e6e23509d1d7ca9650337f0149e0f6686fee5c656397238a33,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f030,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.3,1,ATTEMPTED,True,COMPLETED,0,0,0,96634.19382558239,4.513,True,False,False,34eff98c58ab67c6fc6c8f0e5c7dc6898e765a74dd6012076cdd631179705d62,
es__ES.ME.MFH.01.Gen.ReEx.001.001__f030,ES.ME.MFH.01.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,True,COMPLETED,0,0,0,99482.79899550218,4.6,True,False,False,9e71497b281e8fe2d221a61dcd9c5f6964df3d6e4d9becf531f661ab989a8525,
