Date/Time,BATIMENT0000000240877169_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877169_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877169_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877169_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1066683.041974572,844322.7122119451,970572.6554608198,2201942.5259877415 
 01/01  02:00:00,1169672.9675102623,956666.3519424725,1099542.158886775,2473141.5684544435 
 01/01  03:00:00,1227638.526301058,1020416.7488204865,1170813.167963339,2599782.0953366286 
 01/01  04:00:00,1262385.7938932013,1059956.2300597047,1217481.305527705,2693576.041524913 
 01/01  05:00:00,1288133.9790602082,1089474.8075954185,1251703.4900359137,2753321.2282229206 
 01/01  06:00:00,1330839.0596522514,1136697.4557429517,1304118.523785897,2843843.4263942637 
 01/01  07:00:00,1351382.2102896967,1161252.0731186364,1333243.492317183,2900079.5610881546 
 01/01  08:00:00,1373095.3648158377,1186362.0434445865,1363541.9492770394,2966300.4736393113 
 01/01  09:00:00,1429473.2100020335,1248183.6471671152,1430926.2514999043,3087866.7710798546 
 01/01  10:00:00,1455774.2207539782,1277708.5530697848,1453212.2540971886,3098364.2028835816 
 01/01  11:00:00,1247910.787706608,1063305.8475528283,1191170.0696231283,2460001.5933578215 
 01/01  12:00:00,885941.4679972576,690386.763463781,702883.2664464802,1466004.1412004465 
 01/01  13:00:00,589878.4678694861,379430.45863624546,275833.3875681019,685345.7284330048 
 01/01  14:00:00,416012.7203904493,200463.11581154497,110303.90673153542,174304.02565339935 
 01/01  15:00:00,349133.4267390865,127654.50405711491,111541.95136029083,22793.66125891156 
 01/01  16:00:00,415037.3766026089,182504.48289927444,199455.31557054873,360122.5333878416 
 01/01  17:00:00,565131.9794045473,318930.68464247155,357086.20827659965,947461.813234271 
 01/01  18:00:00,758330.3323051785,514378.5371272568,589444.5057542111,1454470.6793625848 
 01/01  19:00:00,856765.8798487169,616699.0581763864,701004.8832884602,1648131.1591880152 
 01/01  20:00:00,923313.0166334255,686572.0082723732,778173.877132302,1778994.2802093946 
 01/01  21:00:00,963123.0563642083,728096.9334282385,822399.8046902152,1834692.0857017264 
 01/01  22:00:00,976804.3041049485,743109.9726571104,839334.5035687038,1853396.494856583 
 01/01  23:00:00,982998.3682520629,751695.2898715221,856452.060798682,1927823.5852916813 
 01/01  24:00:00,983672.3770550671,754302.3399424143,865129.3516682053,1961373.3417832311 
