Date/Time,BATIMENT0000000240877159_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877159_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2168945.1554721585,2275211.6989092696 
 01/01  02:00:00,2415564.2612906755,2503831.5392174944 
 01/01  03:00:00,2530321.6501682806,2603237.896030731 
 01/01  04:00:00,2613893.296377889,2674596.774055873 
 01/01  05:00:00,2665626.5191048426,2715419.0985000446 
 01/01  06:00:00,2743425.7117914837,2784392.5651297215 
 01/01  07:00:00,2788684.229252014,2822415.8710922394 
 01/01  08:00:00,2845450.4630565043,2872758.7492462457 
 01/01  09:00:00,2947886.7807678613,2970087.2215074115 
 01/01  10:00:00,2928005.2868775325,2988201.007634436 
 01/01  11:00:00,2135113.0118740667,2609206.4194334466 
 01/01  12:00:00,913353.0612398769,2115399.641074893 
 01/01  13:00:00,102481.06399939716,1759333.9885926722 
 01/01  14:00:00,0.0,1427132.420785618 
 01/01  15:00:00,0.0,1194475.803600179 
 01/01  16:00:00,0.0,1204252.6810376148 
 01/01  17:00:00,735087.1580269915,1440497.4120988678 
 01/01  18:00:00,1361671.0847418755,1763965.7279698416 
 01/01  19:00:00,1565902.4008641085,1902330.4516830458 
 01/01  20:00:00,1707077.1924712788,1987042.230130013 
 01/01  21:00:00,1775822.1743264715,2006917.9928993874 
 01/01  22:00:00,1806689.46606576,1998086.7411587213 
 01/01  23:00:00,1896611.468769864,2053622.679818418 
 01/01  24:00:00,1938653.123900339,2068086.838868536 
 01/02  01:00:00,1922468.3385914674,2029048.3904397013 
 01/02  02:00:00,1888748.2262709434,1975416.0376741518 
 01/02  03:00:00,1913344.8593351734,1984213.1551642097 
 01/02  04:00:00,1973741.3459091731,2031936.0842833703 
 01/02  05:00:00,2039955.2264486237,2087197.2534917174 
 01/02  06:00:00,2107860.848751032,2146797.4289922016 
 01/02  07:00:00,2116772.0529583273,2148725.8517102236 
 01/02  08:00:00,2145005.1287786993,2171100.763622798 
 01/02  09:00:00,2210254.300469954,2231561.098825299 
 01/02  10:00:00,2215149.7305023978,2234591.5086052273 
 01/02  11:00:00,1954027.9392970568,2062927.362941816 
 01/02  12:00:00,1381035.222597272,1793271.5606181738 
 01/02  13:00:00,988750.1217390179,1577777.5182856168 
 01/02  14:00:00,1450366.4181635943,1655858.3760346998 
 01/02  15:00:00,1851661.5358044743,1945450.0158604651 
