Date/Time,BATIMENT0000000240879449_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1282120.2496516071,946872.2726496498,946750.8814578855,961611.019945532,1491755.5780434564 
 01/01  02:00:00,1516869.8948569833,1108381.4936090312,1106535.214669836,1121589.2790916932,1698506.4099868878 
 01/01  03:00:00,1630923.9538697028,1175457.4651804839,1172085.1524957716,1187102.521262096,1787233.5817498642 
 01/01  04:00:00,1727376.4605090974,1235615.2633308799,1230999.4270859396,1245986.1076661195,1862718.7590312825 
 01/01  05:00:00,1790369.9546246636,1270638.4873457882,1264891.5511468633,1279784.2269446831,1906525.8185437839 
 01/01  06:00:00,1871677.946638221,1320563.6508026652,1313728.8040771687,1328653.876199918,1971523.8442603266 
 01/01  07:00:00,1930395.3709898486,1357693.9430603678,1350003.1557407624,1364934.3093993699,2016784.8768037024 
 01/01  08:00:00,1997155.004707491,1402647.425595838,1394168.9929771917,1409084.9961677047,2071120.9454636148 
 01/01  09:00:00,2092670.22399121,1469879.204623286,1460598.2097485324,1475693.9594332976,2156848.972244849 
 01/01  10:00:00,2112208.546920857,1489798.7530096779,1478361.175130844,1493056.9017962832,2126164.104488483 
 01/01  11:00:00,1764122.8004862282,1238094.0858311602,1227773.8154103826,1238764.81815424,1567137.083520263 
 01/01  12:00:00,1215751.422466013,848732.9642721402,839740.6099395136,848432.6456970251,1020729.00418662 
 01/01  13:00:00,552575.0412885187,545247.7580721233,541814.3309626823,551598.6962024883,811510.7426854246 
 01/01  14:00:00,15983.8527720407,327674.8006189533,338076.6361216094,348375.178095781,669718.627863031 
 01/01  15:00:00,0.0,196375.98734004638,229740.44985172915,250017.68047806947,655984.6104587276 
 01/01  16:00:00,0.0,219192.61842418497,283633.4909011679,376759.7552719988,752621.2542728714 
 01/01  17:00:00,24870.4592951246,432726.64020460803,504879.6502467845,553470.6279113115,888533.6410023131 
 01/01  18:00:00,434746.0150502655,613681.9657454733,631037.6862883826,650918.8922222846,1065153.542714141 
 01/01  19:00:00,622029.3291365216,685376.3542245037,699214.2882621487,718101.4536248426,1163876.2137076857 
 01/01  20:00:00,760650.4936637648,730665.2734368057,741458.4223380564,759413.4799827733,1225833.5691676533 
 01/01  21:00:00,834927.2170604047,732587.9117044501,740680.5331072584,757737.2042525861,1232282.2816266338 
 01/01  22:00:00,883333.1245938594,724983.7048851973,730823.0057374033,747048.4000779093,1222951.2257700833 
 01/01  23:00:00,996811.7076342729,779007.9834284578,782629.0915974104,798141.3876550866,1284944.1094878716 
 01/01  24:00:00,1064198.32780455,804111.2830435035,806025.3502619634,820982.9250397965,1311314.68515137 
 01/02  01:00:00,1057290.7058066549,767474.4596499252,767802.5972014497,782142.2616202038,1266854.2641544086 
 01/02  02:00:00,1033134.0089256188,719733.1361443241,718541.5836618751,732344.9299778445,1209456.044351409 
 01/02  03:00:00,1053624.9069226268,711375.2188860934,708899.3339072997,722338.0557381908,1203137.5665908165 
 01/02  04:00:00,1096346.277085489,720922.8387420811,717208.9908870105,730555.2425223305,1224068.0743733514 
 01/02  05:00:00,1142619.3650047039,733364.4966340282,728383.9434537658,741719.0552669639,1250637.9846591805 
 01/02  06:00:00,1201881.0878190487,763652.9257999886,757667.191288996,771038.8426084109,1294886.6257345416 
 01/02  07:00:00,1217762.7696341218,765166.1947163385,758430.5508512164,771738.0705202515,1298611.1843974437 
 01/02  08:00:00,1242887.3458157377,773389.6056879235,765901.4117119584,779120.4873207866,1311780.4938883611 
 01/02  09:00:00,1297527.9359415947,805903.7039537375,797639.6601269284,810966.6885244765,1356814.400840681 
 01/02  10:00:00,1309315.0073031723,824046.2787789376,815145.3161719453,828391.5654784793,1356502.1544386134 
 01/02  11:00:00,1161602.108035348,760516.7052134774,752026.744570168,763807.5034020764,1158015.1683136916 
 01/02  12:00:00,877009.9418401562,594158.424218186,586684.2328909105,596488.5422476302,848683.9037400696 
 01/02  13:00:00,572190.1024537616,459657.1439007632,454448.2707227974,463719.7344650511,681727.9175842626 
 01/02  14:00:00,752514.5695548828,575097.6596442944,569657.7153205781,578767.1304954805,836564.660031843 
 01/02  15:00:00,1032032.116327454,724904.2672025979,717941.7063805108,727930.5372387607,1079698.0739129325 
 01/02  16:00:00,1285957.157843033,868147.7006065008,859789.0390754547,870912.8321753951,1318949.2052061942 
 01/02  17:00:00,1485314.1111804042,993132.0028086477,984162.2015831466,996662.8601897622,1527772.5827216739 
 01/02  18:00:00,1867402.3980947277,1176244.9761371636,1163903.2865290472,1178805.6053184166,1893912.2188829714 
 01/02  19:00:00,1969546.140351582,1228800.0286660078,1215367.2016967293,1231185.0774223674,1993823.9361397228 
 01/02  20:00:00,2016261.9275268163,1254921.303852445,1240766.7357845777,1257155.6763055222,2038419.1426001126 
 01/02  21:00:00,2051932.6369455885,1274158.8131154685,1259408.7137760853,1276260.2375790288,2072279.0167057547 
 01/02  22:00:00,2108876.2648937074,1309898.6622125453,1294557.8553354046,1311903.4056464492,2127822.20578225 
 01/02  23:00:00,2187614.9721388747,1361689.558227584,1345698.3556165502,1363629.4176806523,2205504.764913633 
 01/02  24:00:00,2323896.885169982,1453525.567341668,1436739.413667812,1455462.8558817934,2341275.535333336 
 01/03  01:00:00,2495282.8755457285,1570451.8176468695,1552758.5934218764,1572431.7254817132,2512553.6414679447 
 01/03  02:00:00,2776569.968188784,1819219.5249711887,1801332.229755911,1821426.9054046106,2793133.665738254 
 01/03  03:00:00,2945963.0288243713,1954422.2374088163,1936063.9985346887,1956725.1542584486,2962352.0458840067 
 01/03  04:00:00,3056163.9779092437,2036983.765123309,2018135.70020768,2039327.6248151683,3072488.0994695253 
 01/03  05:00:00,3138384.4310777173,2099664.794792239,2080451.6846467173,2102038.11427239,3154600.552537457 
 01/03  06:00:00,3201778.59248305,2150420.912040576,2130923.4055031827,2152816.4825159255,3217790.429085076 
 01/03  07:00:00,3263589.838087921,2200670.7701884867,2180950.8856633417,2203093.0275328024,3279447.1191849667 
 01/03  08:00:00,3314686.707237928,2241838.584638431,2221902.6831027083,2244281.71603018,3330453.824469632 
 01/03  09:00:00,3353790.3478568145,2272675.3154235976,2252560.6198405707,2275130.5171651174,3369515.916323505 
 01/03  10:00:00,3344919.852777569,2275741.9158507297,2255565.5614285967,2278199.7691881675,3361741.744566748 
 01/03  11:00:00,3213674.1273985226,2225313.5973811233,2205733.189741822,2227820.256850484,3236376.519182278 
 01/03  12:00:00,2962424.6316143693,2129570.2022862365,2111400.4884724515,2132157.0474343775,2991486.8163156533 
 01/03  13:00:00,2714978.898820613,2053033.695810631,2036855.0096630687,2056012.8731455426,2774441.665635784 
 01/03  14:00:00,2447911.6366875176,1963151.2657542755,1949522.4788124321,1968005.226694875,2644809.000929445 
 01/03  15:00:00,2083064.6532466216,1892968.5780996764,1884009.164435496,1905818.0792383708,2608960.2636502534 
 01/03  16:00:00,1521420.7760341095,1849353.5069824732,1858840.3318438649,1929843.3300102416,2688373.0928764315 
 01/03  17:00:00,1883958.34208949,2070685.623641553,2102277.7597053354,2159364.410506749,2979761.8431619843 
 01/03  18:00:00,3291470.265860875,2485532.48351753,2476769.356720242,2503990.965315474,3507087.669802454 
 01/03  19:00:00,3684964.8850141093,2743328.3631988866,2732267.0845600283,2759595.423533448,3863773.229939861 
 01/03  20:00:00,3836952.817860013,2837476.624218045,2824918.2709816266,2851973.4110289896,3989709.2253000056 
 01/03  21:00:00,4018053.9421420065,2951539.707994329,2937479.4294637996,2964295.7102593607,4145872.371672142 
 01/03  22:00:00,4236462.61468961,3096952.1913777716,3081415.4635719997,3108413.7506316593,4345590.0397489 
 01/03  23:00:00,4387031.687853467,3205420.255307244,3188838.176633239,3215745.10650881,4479768.084956742 
 01/03  24:00:00,4686575.995465441,3432191.188080799,3414440.840174333,3441679.1261464534,4766284.244492707 
 01/04  01:00:00,4928983.820635469,3600069.684835414,3581042.3742733593,3608862.2841653395,5000160.9921838725 
 01/04  02:00:00,5034790.359975591,3656536.9292101343,3636351.0505499523,3664625.238494151,5099015.133225582 
 01/04  03:00:00,4897609.093283282,3508813.866017334,3487555.972557901,3516034.858532568,4955813.748555934 
 01/04  04:00:00,4767557.32647577,3376965.4839898213,3355001.1412689947,3383525.0363267474,4820971.794301763 
 01/04  05:00:00,4825803.2615173925,3411818.9077212196,3389238.5119771073,3417950.868857857,4874511.087181948 
 01/04  06:00:00,4885751.7906061895,3446741.7929804563,3423535.387638516,3452514.843240099,4930420.227133091 
 01/04  07:00:00,4944405.7611868335,3481542.3844218682,3457759.101457783,3487020.6925257975,4985848.145994626 
