Date/Time,BATIMENT0000000240877527_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2109643.2074420806,802045.087736012,682181.8171369436,1526431.9379360517,8874251.550536279 
 01/01  02:00:00,2344013.950922549,1066687.4436251572,980454.8752528143,1901762.4428196133,9974134.363102546 
 01/01  03:00:00,2478872.982111239,1225697.5333491522,1163630.2983296332,2124880.349959875,10473368.280086737 
 01/01  04:00:00,2565360.2468668716,1333062.0544750716,1292618.9968275488,2289939.389205125,10866123.710605623 
 01/01  05:00:00,2629288.2373073976,1415049.0422258438,1392544.7072064443,2414875.007894187,11106371.761156093 
 01/01  06:00:00,2728913.2523688185,1533065.7224576913,1527068.4678559555,2577429.0705093886,11463941.377219034 
 01/01  07:00:00,2781099.4552779538,1601877.5413065625,1610441.058523871,2683994.6681873393,11699972.887192998 
 01/01  08:00:00,2836557.543658363,1672233.6454676255,1695019.500101649,2793435.4398637987,11984415.49458406 
 01/01  09:00:00,2961719.914048593,1815171.2040412952,1850991.457916941,2980148.1673734267,12472837.565044876 
 01/01  10:00:00,3006444.288597123,1874099.5757476357,1910480.4646770342,3023722.454606061,12621742.410745645 
 01/01  11:00:00,2522948.764929886,1384686.5406385728,1365439.1994200924,2047718.4466497472,10767485.54350662 
 01/01  12:00:00,1743628.8421837278,566549.6747664518,275271.42946469464,353061.39691138966,8002015.143760655 
 01/01  13:00:00,1095821.7325348181,11803.749507312024,0.0,0.0,5818673.731428775 
 01/01  14:00:00,693517.3707741859,0.0,0.0,0.0,3911492.519008044 
 01/01  15:00:00,515292.0561945772,0.0,0.0,0.0,2731369.7249063198 
 01/01  16:00:00,624191.8514408789,0.0,0.0,0.0,2962992.292876224 
 01/01  17:00:00,919066.2714180725,0.0,0.0,0.0,4685180.94482625 
 01/01  18:00:00,1388110.4942601742,0.0,0.0,76599.03782180845,6229674.345403187 
 01/01  19:00:00,1610531.2304774083,136843.4828414487,0.0,420448.15694214124,6881727.296121392 
 01/01  20:00:00,1759155.0181769338,326309.62503291084,42599.529436928424,701290.1655230992,7307300.333655084 
 01/01  21:00:00,1849381.3919609035,445374.9750298376,190816.3304103633,883302.6127314594,7436793.277976486 
 01/01  22:00:00,1882062.8429329009,501423.8230890471,279909.8134081855,989134.2888890008,7448846.7356822975 
 01/01  23:00:00,1909862.3641389897,554398.8736643952,370353.6674266099,1118279.421395997,7771800.265215122 
 01/01  24:00:00,1919389.420123302,584178.5611113468,430055.55782173615,1204405.0930058248,7894369.89866207 
 01/02  01:00:00,1931522.1936221933,609161.467435692,473473.7089837727,1245340.5399223573,7728637.376182355 
 01/02  02:00:00,1938617.9490617202,629376.3724632125,509287.4039616945,1270339.0502219212,7495313.2330277385 
 01/02  03:00:00,1991710.0240456043,693856.574498948,587964.876521936,1349039.8855429261,7530547.679915603 
 01/02  04:00:00,2114060.379213669,829702.0658468079,736472.8076147091,1506010.6216493556,7723546.813039782 
 01/02  05:00:00,2251764.147923217,982951.8365642696,900819.0260364778,1675648.0946369972,7964180.958617186 
 01/02  06:00:00,2357390.591856124,1103633.9258962334,1033416.8999558396,1822736.7995743938,8248405.372798631 
 01/02  07:00:00,2389240.1799590485,1147569.1295722602,1086788.4721925848,1880394.0279418896,8287738.939995114 
 01/02  08:00:00,2440609.8825743482,1209411.25081774,1157017.820751587,1955329.8325657162,8404799.303425586 
 01/02  09:00:00,2539169.7994020237,1321153.2442956094,1276996.5604679703,2088237.678445741,8694240.874722753 
 01/02  10:00:00,2546842.4282116597,1338373.8916390373,1293342.9379117377,2097685.51712049,8810354.313643262 
 01/02  11:00:00,2290948.529908057,1075619.4812158903,996953.8439990132,1661495.631857359,8247148.237949804 
