Date/Time,BATIMENT0000000240880071_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880071_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1230925.1210191315,1527002.6513902294 
 01/01  02:00:00,1409275.0223697321,1758715.014760901 
 01/01  03:00:00,1508313.468121897,1880121.4854984127 
 01/01  04:00:00,1578118.1426576674,1968353.0765921697 
 01/01  05:00:00,1626985.6016308172,2028197.9807698592 
 01/01  06:00:00,1691876.0049262433,2109068.2588120056 
 01/01  07:00:00,1727507.6882443759,2155810.6379883746 
 01/01  08:00:00,1769391.1606765138,2211853.96883154 
 01/01  09:00:00,1839077.5296258866,2300874.4945268207 
 01/01  10:00:00,1749704.4526171095,2194377.421865751 
 01/01  11:00:00,936026.1928751857,1226325.0593456023 
 01/01  12:00:00,51163.44880437282,111656.89396788331 
 01/01  13:00:00,0.0,0.0 
 01/01  14:00:00,0.0,0.0 
 01/01  15:00:00,0.0,0.0 
 01/01  16:00:00,0.0,0.0 
 01/01  17:00:00,0.0,0.0 
 01/01  18:00:00,343866.6562684979,470186.5437307002 
 01/01  19:00:00,598015.2498176958,763205.9499993513 
 01/01  20:00:00,759432.8321650153,951512.1989867303 
 01/01  21:00:00,855307.7739855526,1057295.7000312072 
 01/01  22:00:00,918618.1342698953,1128583.070022111 
 01/01  23:00:00,1004227.1019933659,1236990.8720514094 
 01/01  24:00:00,1060335.3670958683,1304701.828306315 
 01/02  01:00:00,1091853.182315377,1331692.1493539854 
 01/02  02:00:00,1107968.8449598039,1339544.6604038756 
 01/02  03:00:00,1156061.0653176995,1391384.0247821577 
 01/02  04:00:00,1227895.5642242443,1472335.5483349138 
 01/02  05:00:00,1301226.7869885368,1556549.4435654175 
 01/02  06:00:00,1363840.633048998,1632169.4059337615 
 01/02  07:00:00,1381799.742195482,1651701.938438108 
 01/02  08:00:00,1412808.0155984678,1687860.1829205728 
 01/02  09:00:00,1463907.3593467488,1750038.8250919352 
