Date/Time,BATIMENT0000000240879409_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2506672.131782006,657550.4515211475,445185.24589002854,1622190.3940540645,11532684.657450294 
 01/01  02:00:00,2799342.294938803,995493.5427890836,836601.8278738506,2106138.050776742,12974947.505220443 
 01/01  03:00:00,2968953.261117748,1203271.3426350849,1083903.6137781797,2399439.598009743,13630135.921776311 
 01/01  04:00:00,3078955.6521038204,1346019.6301554828,1261834.0358367378,2619095.096041859,14148513.235049002 
 01/01  05:00:00,3160750.31263406,1456825.9985587392,1402049.02243259,2787568.5273919916,14466367.802046921 
 01/01  06:00:00,3286031.7032241514,1610438.9862913555,1582371.9307941203,3000962.430747078,14936126.937780105 
 01/01  07:00:00,3352913.0701703853,1702636.6066225478,1698069.9009499229,3143808.093815844,15248848.36521316 
 01/01  08:00:00,3423876.9573070835,1796421.8946177214,1814613.3305064396,3289856.961439501,15625445.589005332 
 01/01  09:00:00,3579591.833670861,1977884.4170439728,2016226.607781041,3530172.79710206,16265997.27169013 
 01/01  10:00:00,3632068.6144143855,2053514.7385992445,2092326.687604218,3593978.657690673,16458895.502869394 
 01/01  11:00:00,3029098.4721001135,1452436.448581305,1411103.4448595576,2354601.1949137934,14015626.932631373 
 01/01  12:00:00,2070791.0040685125,451853.09455527604,199470.81023130304,302075.5181838256,10347524.820593257 
 01/01  13:00:00,1252720.517866254,0.0,0.0,0.0,7583170.945229303 
 01/01  14:00:00,744539.213704574,0.0,0.0,0.0,5198061.829293957 
 01/01  15:00:00,522899.0460032198,0.0,0.0,0.0,3783631.7743040454 
 01/01  16:00:00,646854.8950758538,0.0,0.0,0.0,4113548.433646516 
 01/01  17:00:00,1000698.5057679915,0.0,0.0,0.0,6094153.1585631175 
 01/01  18:00:00,1580360.7092270083,0.0,0.0,0.0,8063388.834765091 
 01/01  19:00:00,1855402.203734727,0.0,0.0,116029.0830259124,8923332.360520177 
 01/01  20:00:00,2049819.8474878988,9354.642499759211,0.0,470156.14945712005,9475477.154915923 
 01/01  21:00:00,2168707.438946862,136113.21470187104,0.0,725188.1647428914,9639709.325347744 
 01/01  22:00:00,2212175.9978749515,228484.5091018797,0.0,882849.4234037477,9653990.514229942 
