Date/Time,BATIMENT0000000240880100_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880100_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880100_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880100_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880100_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880100_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/01  01:00:00,5706295.6156026805,4528314.598494012,4506112.337516458,4592601.8850793075,4926977.822262357,9715750.7266415 
 01/01  02:00:00,6623358.744753904,5435376.214378938,5401940.19486619,5480949.4995448105,5829805.586217932,11129803.63655012 
 01/01  03:00:00,7085940.855464684,5896477.311749123,5854702.020770901,5927361.528232899,6283459.811900097,11824531.964977132 
 01/01  04:00:00,7356910.746586556,6168274.619981018,6118840.533822135,6185485.203786887,6548521.541015752,12299935.478148144 
 01/01  05:00:00,7558000.583449484,6373954.866903671,6318599.341534224,6380128.105096962,6748201.524471178,12638530.541208912 
 01/01  06:00:00,7910705.613836857,6731734.736538405,6671308.418565064,6728388.675056607,7102453.1057365015,13169303.712829135 
 01/01  07:00:00,8043400.240597409,6870199.51851616,6805435.7327879695,6858543.552571587,7237355.831001857,13436576.583593642 
 01/01  08:00:00,8248995.891259087,7081763.1833189055,7012817.547346442,7062014.350000099,7445939.715930872,13798772.026209012 
 01/01  09:00:00,8736680.446639925,7577175.501964992,7505699.809188995,7552279.422993696,7943359.948802087,14492813.09497604 
 01/01  10:00:00,8941177.01156579,7830532.9052868,7774925.766035617,7829606.337255264,8223825.043071142,14556645.832858494 
 01/01  11:00:00,6992790.796877327,6053896.000803333,6069875.13337587,6163112.862942339,6531796.423246643,11081686.927554742 
 01/01  12:00:00,4045101.4623969216,3255255.398790061,3334354.411077878,3466557.206458116,3776936.1634835606,5832994.331206388 
 01/01  13:00:00,1929150.9454266925,1192783.2202051592,1302907.5821831007,1449966.9420905993,1685825.0622021616,2122197.806396097 
 01/01  14:00:00,224900.02891224576,17462.220649304796,38151.04737624061,81046.73059672932,155127.75676523452,141223.69662373094 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,7368.834536225768,0.0,0.0,0.0,12078.839636757039,1157052.2583992395 
 01/01  18:00:00,2701736.678897979,1430295.2417320514,1525378.4237663902,1730696.5802810157,2100333.630712121,5005349.344730645 
 01/01  19:00:00,3540194.274554129,2454875.086984586,2500365.357964032,2632559.3021298875,2930070.1050098166,6311967.879496149 
 01/01  20:00:00,4177750.061659841,3062037.842910126,3096665.6108728615,3222774.455564929,3530303.209366871,7210032.421306709 
 01/01  21:00:00,4560348.581000534,3428234.989746509,3452773.4766418,3572198.7422818555,3885258.794286603,7726847.2807371635 
 01/01  22:00:00,4682198.554134672,3539487.6069187773,3553850.1735325907,3665942.169863679,3981411.298724165,7926325.637417886 
