Date/Time,BATIMENT0000000240879934_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879934_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879934_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2926453.0492603327,2788085.735629447,4288600.72010754 
 01/01  02:00:00,3197081.3412583703,3091210.6996818557,4773594.307126177 
 01/01  03:00:00,3337014.927894396,3248974.9964140137,5001866.114240187 
 01/01  04:00:00,3413839.3582380256,3341244.424268797,5155454.121346935 
 01/01  05:00:00,3469323.4647812624,3407978.625190867,5255199.074306991 
 01/01  06:00:00,3573736.1372072296,3525024.242626612,5420129.595806117 
 01/01  07:00:00,3612768.793900318,3574960.4845310375,5505340.345311206 
 01/01  08:00:00,3665362.120317061,3638163.3808494345,5615007.742148682 
 01/01  09:00:00,3813171.944829803,3799801.0850516194,5843147.058610204 
 01/01  10:00:00,3897939.7774887243,3880501.5761348563,5887111.526109258 
 01/01  11:00:00,3410009.1177271404,3326806.135768264,4727346.358708177 
 01/01  12:00:00,2547306.229894057,2328215.6028100136,2797725.7017558767 
 01/01  13:00:00,1842451.6184839632,1445381.137719642,1342578.0907488842 
 01/01  14:00:00,1404864.773165579,788054.9003064247,610504.0598902487 
 01/01  15:00:00,1213955.107044671,522836.4094739846,456202.09242754505 
 01/01  16:00:00,1367070.9318758796,908850.0279090004,893619.419200228 
 01/01  17:00:00,1701572.3546279925,1382349.6766344996,1949953.7693793618 
 01/01  18:00:00,2150558.8794265697,1892069.7368201916,2916973.9100203244 
 01/01  19:00:00,2414708.0751947076,2179564.7401698884,3307331.312365424 
 01/01  20:00:00,2584653.262147486,2368735.9581496837,3564728.5265347036 
 01/01  21:00:00,2679744.486875417,2475043.4415659085,3684952.9175959914 
 01/01  22:00:00,2697401.7294314425,2501192.717444149,3714614.1159527805 
 01/01  23:00:00,2702729.142881514,2522936.6475249073,3814712.6239253543 
 01/01  24:00:00,2693639.3975054766,2526123.2413808065,3853218.753093018 
 01/02  01:00:00,2703587.1839680667,2535465.808115137,3823926.110985103 
 01/02  02:00:00,2702921.3262800407,2532563.926868027,3767068.6424729372 
 01/02  03:00:00,2769732.982345917,2600730.47562172,3830229.323716362 
 01/02  04:00:00,2928622.054595527,2764914.192149094,3999241.276149409 
 01/02  05:00:00,3093726.5169477724,2935572.8394815335,4181718.1689968575 
 01/02  06:00:00,3209533.2538930606,3060121.3750300035,4338011.448641372 
 01/02  07:00:00,3225004.1019016616,3079706.7372510848,4355705.57745373 
 01/02  08:00:00,3276159.5575721115,3134711.9355116147,4421286.883050546 
 01/02  09:00:00,3391035.982236949,3256879.7761497996,4575606.816477644 
 01/02  10:00:00,3427557.276717079,3288037.304669349,4603656.8740867 
 01/02  11:00:00,3238931.7825912265,3051842.9121493865,4177304.582394464 
 01/02  12:00:00,2825710.92203229,2552439.209935752,3229067.029366715 
 01/02  13:00:00,2454936.5350105898,2082376.9304018717,2479497.4203003035 
 01/02  14:00:00,2583066.381778671,2267697.840242831,3102621.9558676844 
 01/02  15:00:00,3033692.525493522,2783593.241385344,3878371.1689124126 
 01/02  16:00:00,3492288.7702112617,3294650.7461959957,4583545.434569484 
 01/02  17:00:00,3848798.4038434327,3695598.5157968714,5147555.85857259 
 01/02  18:00:00,4985664.736138332,4877702.253727926,6514820.050763618 
 01/02  19:00:00,5417801.247799509,5324112.319597601,6991071.493081068 
 01/02  20:00:00,5554016.126965657,5474852.2949950015,7154979.008489618 
