osm_id,crs_utm,building_tag,function_tag,levels,height_m,year_built,postcode,underground,roof_shape,roof_height_m,footprint_area_m2,perimeter_m,surplus_tags,provenance_levels,provenance_height_m,provenance_year_built,provenance_building_tag,provenance_function_tag,provenance_postcode,provenance_geometry,data_quality_flag,source_fixture
29551553,EPSG:32619,yes,,5.0,,,02111,0,,,1479.7179174269652,188.49494387861952,"{""addr:state"": ""MA"", ""building"": ""yes"", ""source"": ""esri/Boston_MA_Addresses"", ""addr:housenumber"": ""2-24"", ""addr:street"": ""Edinboro Street"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02111"", ""nodes"": ""[325592777, 325300957, 325327900, 325679808, 11887420407, 11887420400, 11887420399, 325592777]"", ""building:levels"": ""5""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29561915,EPSG:32619,yes,,12.0,,,02110,0,flat,,998.0376002049896,128.3772189361794,"{""addr:state"": ""MA"", ""building"": ""yes"", ""source"": ""esri/Boston_MA_Addresses"", ""addr:housenumber"": ""19,21"", ""addr:street"": ""Custom House Street"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02110"", ""nodes"": ""[325647190, 2488311780, 2488311826, 325644961, 2488311845, 2488311863, 2488311873, 2488311892, 325650979, 2488311894, 2488311883, 2488311870, 2488311858, 325564990, 2488311843, 2488311816, 2488311805, 2488311785, 325647190]"", ""building:levels"": ""12"", ""building:material"": ""stone"", ""building:colour"": ""#EEEEEE"", ""roof:material"": ""concrete"", ""roof:shape"": ""flat""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29565607,EPSG:32619,yes,,2.0,12.0,,,0,flat,,969.687104806113,136.5867736051858,"{""addr:state"": ""MA"", ""building"": ""yes"", ""addr:housenumber"": ""10"", ""addr:street"": ""Winter Place"", ""addr:city"": ""Boston"", ""nodes"": ""[4779201921, 326001516, 2406431579, 61521785, 4779201112, 4779201111, 325681889, 7741817801, 4106650526, 4779201921]"", ""building:levels"": ""2"", ""height"": ""12"", ""roof:material"": ""concrete"", ""roof:shape"": ""flat"", ""height_raw"": ""12""}",OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,"generic_tag,no_function,no_year",boston_downtown_500m
29566986,EPSG:32619,yes,,11.0,,,02111,0,flat,,1253.0807420901453,169.79930148812335,"{""addr:state"": ""MA"", ""building"": ""yes"", ""name"": ""Plymouth Rock Building"", ""source"": ""esri/Boston_MA_Addresses"", ""addr:housenumber"": ""695"", ""addr:street"": ""Atlantic Avenue"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02111"", ""nodes"": ""[325317060, 2495076970, 325582513, 325312827, 325687908, 325313861, 2129815881, 325317060]"", ""building:levels"": ""11"", ""building:material"": ""brick"", ""roof:material"": ""concrete"", ""roof:shape"": ""flat"", ""note"": ""this building has a Boston Sports Club inside it.""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29569070,EPSG:32619,yes,,3.0,25.908,,,0,flat,,1118.5907781692813,138.119393992274,"{""building"": ""yes"", ""name"": ""High Street Substation"", ""nodes"": ""[326053686, 325694811, 325618517, 3854212258, 325333250, 325552909, 326053686]"", ""building:levels"": ""3"", ""building:material"": ""brick"", ""operator"": ""Eversource"", ""height"": ""25.908"", ""roof:material"": ""concrete"", ""roof:shape"": ""flat"", ""frequency"": ""60"", ""location"": ""indoor"", ""operator:wikidata"": ""Q3344199"", ""power"": ""substation"", ""substation"": ""distribution"", ""voltage"": ""115000"", ""height_raw"": ""25.908""}",OSM_OBSERVED,OSM_OBSERVED,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,"generic_tag,no_function,no_year",boston_downtown_500m
29573112,EPSG:32619,yes,,8.0,,,02109,0,,,1106.3770663539963,131.15079498143905,"{""addr:state"": ""MA"", ""building"": ""yes"", ""name"": ""Flour and Grain Exchange Building"", ""source"": ""esri/Boston_MA_Addresses"", ""addr:housenumber"": ""177"", ""addr:street"": ""Milk Street"", ""historic"": ""building"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02109"", ""nodes"": ""[325694342, 325649123, 325311762, 325382508, 325657858, 2488311966, 2488311970, 325613948, 325432807, 325657645, 325613590, 325660095, 325339301, 325457994, 325694804, 325583121, 325688237, 325624744, 325314114, 325342230, 325308615, 325335138, 325644033, 325678257, 325634663, 325630845, 325620020, 325330372, 325456716, 325690153, 325678361, 325544724, 325336613, 325662986, 325589725, 325344396, 325625060, 325597815, 325631214, 325689407, 325673760, 325302520, 325624596, 325653179, 325639980, 325585828, 325620698, 325328610, 325317055, 325660770, 2488312042, 2488312049, 325609796, 2488312030, 2488312003, 2488311997, 2488311913, 325659169, 325592431, 325599887, 325590676, 325694166, 325315552, 325596074, 325667035, 325685524, 325391500, 325615672, 325629552, 325610707, 325478342, 325658655, 325642867, 325694342]"", ""building:levels"": ""8"", ""building:material"": ""stone"", ""wikipedia"": ""en:Flour and Grain Exchange Building"", ""building:colour"": ""#CCCCBB"", ""alt_name"": ""Grain Exchange Building""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29605275,EPSG:32619,yes,,6.0,,,02108,0,,,1304.4998240209602,154.98782006546404,"{""addr:state"": ""MA"", ""building"": ""yes"", ""name"": ""Old City Hall"", ""source"": ""esri/Boston_MA_Addresses"", ""wikidata"": ""Q7083686"", ""addr:housenumber"": ""45"", ""addr:street"": ""School Street"", ""historic"": ""building"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02108"", ""nodes"": ""[325436162, 325913334, 325378810, 325326243, 325339981, 325767509, 325854660, 325963601, 325436162]"", ""building:levels"": ""6"", ""wikipedia"": ""en:Old City Hall (Boston)""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29605432,EPSG:32619,yes,,11.0,,,,0,,,667.0481879041397,112.46744590413894,"{""addr:state"": ""MA"", ""building"": ""yes"", ""addr:housenumber"": ""100"", ""addr:street"": ""Tremont Street"", ""addr:city"": ""Boston"", ""nodes"": ""[325361616, 325335822, 325752604, 325997582, 325361616]"", ""building:levels"": ""11""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_MISSING,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29606678,EPSG:32619,yes,,11.0,,,02108,0,,,643.7133914844553,116.1601958926637,"{""addr:state"": ""MA"", ""building"": ""yes"", ""name"": ""Berluti McLaughlin & Kutchin LLP"", ""addr:housenumber"": ""44"", ""addr:street"": ""School Street"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02108"", ""nodes"": ""[325951347, 2484163667, 2484163669, 2484163668, 325875767, 7623339939, 325334468, 325485586, 325396965, 325951347]"", ""building:levels"": ""11"", ""contact:phone"": ""+1 617 557-3030"", ""addr:country"": ""US"", ""addr:floor"": ""9"", ""contact:website"": ""https://bmklegal.com""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
29606719,EPSG:32619,yes,,7.0,,,02109,0,,,375.42460495175004,78.77771807834868,"{""addr:state"": ""MA"", ""building"": ""yes"", ""name"": ""Muller Building"", ""source"": ""esri/Boston_MA_Addresses"", ""addr:housenumber"": ""4"", ""addr:street"": ""Liberty Square"", ""addr:city"": ""Boston"", ""addr:postcode"": ""02109"", ""nodes"": ""[4106650732, 325343314, 4106650729, 4106650730, 325757110, 4106650731, 4106650733, 325458251, 4106650737, 4106650732]"", ""building:levels"": ""7""}",OSM_OBSERVED,OSM_MISSING,OSM_MISSING,OSM_GENERIC,OSM_MISSING,OSM_OBSERVED,OSM_OBSERVED,"generic_tag,no_function,no_height,no_year",boston_downtown_500m
