Date/Time,BATIMENT0000000240880079_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880079_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,185921.7808974554,515844.90999901353 
 01/01  02:00:00,241564.41666221945,628021.8942664813 
 01/01  03:00:00,272637.9655863213,685334.9956395273 
 01/01  04:00:00,294292.71589938126,730865.1482456324 
 01/01  05:00:00,310355.9410527491,762593.9316750756 
 01/01  06:00:00,334109.44158762036,804990.278399818 
 01/01  07:00:00,347824.9120963625,833539.0394693387 
 01/01  08:00:00,362210.15434755356,865107.1012620272 
 01/01  09:00:00,390691.986398549,915082.1798751731 
 01/01  10:00:00,398241.92160237127,916454.008578074 
 01/01  11:00:00,284087.28349677386,641117.1293937145 
 01/01  12:00:00,90101.10393341858,190105.73851477186 
 01/01  13:00:00,0.0,0.0 
 01/01  14:00:00,0.0,0.0 
 01/01  15:00:00,0.0,0.0 
 01/01  16:00:00,0.0,0.0 
 01/01  17:00:00,0.0,0.0 
 01/01  18:00:00,4539.265561183674,104854.62531833073 
 01/01  19:00:00,48406.933501890126,203154.42028146973 
 01/01  20:00:00,86009.25144398972,274978.0117948043 
 01/01  21:00:00,109963.51257693331,317747.353900453 
 01/01  22:00:00,121298.75705743307,343223.82090554753 
 01/01  23:00:00,132611.7738836816,387123.9540880263 
 01/01  24:00:00,139594.7273974469,414942.06760029885 
 01/02  01:00:00,143959.33006541073,418132.4624443922 
 01/02  02:00:00,146984.42859333975,415343.56541218224 
 01/02  03:00:00,159445.432244911,431636.2190750246 
 01/02  04:00:00,186447.4810735159,465145.0128429295 
 01/02  05:00:00,216627.66667125633,501901.71843267034 
 01/02  06:00:00,240260.90999836597,537488.729317604 
 01/02  07:00:00,247945.96085281266,548454.6897790672 
 01/02  08:00:00,258804.3140353677,564427.7009269837 
 01/02  09:00:00,280811.3558513844,597309.0333592589 
 01/02  10:00:00,281407.63928955386,599663.3627496623 
 01/02  11:00:00,218132.56461818438,488375.22694424476 
 01/02  12:00:00,108358.15800773782,255472.98176114657 
 01/02  13:00:00,22636.636500863646,60958.283640278205 
 01/02  14:00:00,60774.714109421984,229245.0495530977 
 01/02  15:00:00,154448.6172702582,403580.1432443525 
 01/02  16:00:00,251330.2422134733,555850.2424133422 
 01/02  17:00:00,331901.7228279807,682949.1366594436 
 01/02  18:00:00,569225.7525122665,961552.9294933212 
 01/02  19:00:00,643297.2079377532,1043730.4053369266 
 01/02  20:00:00,669988.1720252226,1077123.8574024613 
 01/02  21:00:00,691715.3098735012,1104111.6664254982 
 01/02  22:00:00,723352.1127480592,1144897.7911951889 
 01/02  23:00:00,761476.2058413846,1195665.4913274045 
 01/02  24:00:00,822355.6278626133,1280340.4143671298 
 01/03  01:00:00,896368.1696324216,1384546.1642647793 
