Date/Time,BATIMENT0000000240879618_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879618_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2510977.7275821553,3298076.141375615 
 01/01  02:00:00,2741419.8546621143,3666339.8609576365 
 01/01  03:00:00,2859545.648949754,3840276.8024923 
 01/01  04:00:00,2928569.8706737175,3957526.7785502933 
 01/01  05:00:00,2976164.0905362633,4031365.5026371945 
 01/01  06:00:00,3062309.2748004524,4154791.626886578 
 01/01  07:00:00,3096129.1512589557,4216368.743159372 
 01/01  08:00:00,3140402.3222953337,4295465.654556453 
 01/01  09:00:00,3257152.451714743,4461881.5001926 
 01/01  10:00:00,3294891.617533187,4458897.453539607 
 01/01  11:00:00,2799207.383342741,3453548.2440943774 
 01/01  12:00:00,1861257.5459975032,1947050.2289804078 
 01/01  13:00:00,1020271.5974302404,867244.984251827 
 01/01  14:00:00,728561.8302820309,142638.44860356767 
 01/01  15:00:00,819576.5480025598,0.0 
 01/01  16:00:00,1055281.465424779,411706.49211377604 
 01/01  17:00:00,1381145.4156665017,1386586.9050848975 
 01/01  18:00:00,1826009.4862863119,2220953.82028325 
 01/01  19:00:00,2046643.3903118584,2525360.261924925 
 01/01  20:00:00,2190893.476126078,2727280.4241090673 
 01/01  21:00:00,2270487.0959853204,2823437.709149698 
 01/01  22:00:00,2289349.8803568273,2851129.9768761136 
 01/01  23:00:00,2310548.4892150634,2937003.422955004 
 01/01  24:00:00,2312822.370375494,2968553.7967059556 
 01/02  01:00:00,2317302.9325002646,2946779.754976002 
 01/02  02:00:00,2311882.9532439536,2904445.077539394 
 01/02  03:00:00,2362458.5362863056,2953519.84955241 
 01/02  04:00:00,2480912.6938291,3077141.3608036907 
 01/02  05:00:00,2605987.0649139057,3213598.968057327 
 01/02  06:00:00,2697510.0821799804,3331145.89593504 
 01/02  07:00:00,2710579.055450894,3345525.4546304317 
 01/02  08:00:00,2750401.923104043,3394964.438727358 
 01/02  09:00:00,2838509.6533940383,3508255.0106585836 
 01/02  10:00:00,2841716.2387745157,3504272.503735461 
 01/02  11:00:00,2602694.743646532,3095699.432554362 
 01/02  12:00:00,2124876.8403774565,2322038.157969426 
 01/02  13:00:00,1682679.4802076302,1771622.0223597493 
 01/02  14:00:00,1955030.9879000913,2224999.9451529244 
 01/02  15:00:00,2386337.55532276,2848737.82480798 
 01/02  16:00:00,2792192.5946285618,3413392.4282908775 
 01/02  17:00:00,3106500.4689250644,3855317.047875634 
 01/02  18:00:00,4168373.084918599,5059351.506805063 
 01/02  19:00:00,4529107.315534133,5445109.940707438 
 01/02  20:00:00,4631071.836131591,5562614.633568046 
 01/02  21:00:00,4701411.405110378,5645160.304438277 
 01/02  22:00:00,4844760.84261171,5812154.061241409 
 01/02  23:00:00,5022157.386820886,6024113.197695042 
 01/02  24:00:00,5284768.912621079,6354573.9390240945 
 01/03  01:00:00,5594667.310696326,6750853.1465158835 
 01/03  02:00:00,5372043.006284478,6771529.837688213 
 01/03  03:00:00,5443128.695992011,6952119.310608761 
 01/03  04:00:00,5560126.951002998,7124057.22874475 
 01/03  05:00:00,5634635.199933253,7239539.500381082 
 01/03  06:00:00,5659761.158619126,7294202.1609874405 
 01/03  07:00:00,5685281.604278896,7349378.809893425 
 01/03  08:00:00,5712173.48685837,7399208.515679152 
 01/03  09:00:00,5747450.132206457,7451076.865289717 
 01/03  10:00:00,5706387.421752288,7392984.692939126 
 01/03  11:00:00,5490434.924474653,7069409.095680321 
 01/03  12:00:00,5086308.826236945,6448533.801854765 
 01/03  13:00:00,4621993.69191513,5788084.957776293 
 01/03  14:00:00,4361645.221386393,5335910.343147719 
 01/03  15:00:00,4245131.008448151,4927009.752745809 
 01/03  16:00:00,4197496.512900293,4665695.833897667 
 01/03  17:00:00,4404260.203733525,5476754.054129446 
 01/03  18:00:00,5122166.447711382,6966070.34237865 
 01/03  19:00:00,5670586.881941426,7737531.0970059335 
 01/03  20:00:00,5805357.696935885,7955971.221106729 
 01/03  21:00:00,6039309.916463825,8288563.650421036 
 01/03  22:00:00,6327992.473693767,8696494.528567562 
 01/03  23:00:00,6406324.94310291,8870644.29695132 
 01/03  24:00:00,6664958.134404956,9326224.724293077 
 01/04  01:00:00,7034965.151054744,9812117.878149323 
 01/04  02:00:00,7306938.369262073,10092156.107656445 
 01/04  03:00:00,7489124.268791522,10070558.37329514 
 01/04  04:00:00,7584754.806825922,10006287.77795611 
 01/04  05:00:00,7675717.833073557,10115419.020132791 
 01/04  06:00:00,7798648.411634597,10261937.445194045 
 01/04  07:00:00,7917749.496947003,10405275.5550435 
