Date/Time,BATIMENT0000000240877151_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2076966.510480598,794672.6643621625,629053.6355782927,704659.7757504737,1576960.2483561314,8713820.903875777 
 01/01  02:00:00,2304113.6396892667,1045809.7334376808,896249.0165926081,1000595.7208980982,1943362.569164837,9786087.502107766 
 01/01  03:00:00,2435761.1785122687,1196845.642808182,1058982.491198604,1182271.3708929536,2159657.952643998,10273372.869312197 
 01/01  04:00:00,2518702.679774183,1296318.3165759672,1168917.6749997307,1309388.5941965769,2318132.363081888,10653843.81138178 
 01/01  05:00:00,2580661.025196919,1372629.0825898717,1254206.2200041525,1408319.6987041943,2438278.188698684,10888307.676431675 
 01/01  06:00:00,2678418.9769462803,1485572.4262313175,1375670.0329501955,1542397.0083101988,2597001.9944171607,11239543.44048076 
 01/01  07:00:00,2728659.4741674885,1549595.442593732,1447331.048576696,1625135.1798201653,2700021.4395852447,11469455.300281199 
 01/01  08:00:00,2781722.4025413594,1614591.290395006,1520027.2411617283,1708983.3001419525,2805968.778100334,11746478.732221978 
 01/01  09:00:00,2905795.3344682064,1754090.38224176,1666664.2861563307,1865294.5235365536,2990430.006835364,12227296.309190648 
 01/01  10:00:00,2961784.9311553747,1825638.804248861,1739177.79726764,1931334.9406928902,3036807.6985833733,12385918.797943635 
 01/01  11:00:00,2510346.681325756,1379066.8966106344,1280693.5037341923,1369276.760003798,2106704.2514792373,10627795.35549793 
 01/01  12:00:00,1739137.4407624952,600917.9940832707,467330.0300867574,232286.40390642761,529721.2148600462,7931394.999911028 
 01/01  13:00:00,1099220.9200065169,36187.345115724755,0.0,0.0,0.0,5809275.472313644 
 01/01  14:00:00,699002.719193366,0.0,0.0,0.0,0.0,3908463.3269465687 
 01/01  15:00:00,520821.98882940935,0.0,0.0,0.0,0.0,2757050.1599763157 
 01/01  16:00:00,631475.5470930119,0.0,0.0,0.0,0.0,2954502.197008119 
 01/01  17:00:00,936131.8201973293,0.0,0.0,0.0,0.0,4616519.412402767 
 01/01  18:00:00,1377246.410276052,12667.427337073608,0.0,0.0,177220.52748974602,6126702.471457389 
 01/01  19:00:00,1595398.9611487743,195827.7932947094,5328.420692699729,0.0,536562.6701082074,6769987.545581901 
 01/01  20:00:00,1742173.4662254646,371570.76513459615,129400.69091013356,68337.2110433389,804804.0430422124,7192161.907194834 
 01/01  21:00:00,1832157.074566706,481167.4719863558,255041.4210144198,221641.8240117855,974151.3570595621,7325274.343667141 
 01/01  22:00:00,1864976.0658302899,530805.6457693339,318368.7029837085,310006.09718901396,1070850.3459463813,7339598.874631922 
 01/01  23:00:00,1887133.0956440624,570022.9959674143,374605.49823626137,396612.76095154684,1187144.4345194476,7644345.276074637 
 01/01  24:00:00,1893736.165385422,590606.7027276782,408465.48796332505,454314.2119920187,1264468.7102504554,7760196.393846495 
 01/02  01:00:00,1907705.1456383974,613330.2231835872,438821.1187953879,497340.03940239345,1300120.9203087755,7604242.1322022285 
 01/02  02:00:00,1917423.128125426,632617.6892479169,464962.6147263327,533190.399254767,1321103.1533024465,7383378.50744741 
 01/02  03:00:00,1971556.2612768025,694998.3360565747,533842.7903187475,611718.4872265104,1396109.796314317,7423729.035629395 
 01/02  04:00:00,2097141.322442892,832006.4313861519,676619.1209211858,762759.836474048,1552304.160183519,7624772.261828526 
 01/02  05:00:00,2236098.7219819776,984339.0855074977,834502.613654356,927153.3492313261,1719661.597383167,7871649.468723694 
 01/02  06:00:00,2341748.7430470986,1102957.8418796395,959287.1256358062,1060291.2257949787,1864879.6868059146,8155452.465971318 
 01/02  07:00:00,2373387.467303387,1144762.7872928726,1006117.2273107951,1113146.4775056941,1919824.7108171866,8195121.384359868 
 01/02  08:00:00,2424580.60817689,1204688.1997086317,1070714.220776807,1183164.9154186903,1992671.2392414268,8311912.990995569 
 01/02  09:00:00,2523686.938646403,1315680.0864384067,1186352.264140502,1303879.6439829816,2124486.8193395794,8599958.001984155 
