capability,status,evidence_or_gap
OSM acquisition,CURRENT,ingest_buildings exists; add European fixtures
Four-tier imputation,CURRENT_REUSABLE,impute_missing exists; add country-aware configuration and provenance tests
Room-layout geometry,CURRENT_REUSABLE,generate_layout exists; add TABULA dwelling/core semantics and Grasshopper parity
IDF generation,CURRENT_REUSABLE,BuildingIDF and run_step3 exist; extend rather than replace
Opaque construction,CURRENT_REUSABLE,Generic assembly exists; add traceable European layers and readback
Schedule generation,CURRENT_INCOMPATIBLE,Current Schedule:Compact path does not satisfy Step 8 Schedule:File
HVAC,CURRENT_REUSABLE,Current archetypes exist; add tested European residential systems
Simulation fan-out,CURRENT_REUSABLE,run_neighbourhood is local joblib not a campaign array CLI
Results reconstruction,CURRENT_US_SPECIFIC,Choose one physical or reconstructed European accounting path
Step 8 gates,TARGET,Dedicated G8/V8 scorer and mutation suite absent
European TABULA registries,TARGET,ES GB IT and FR production resources are not yet demonstrated
