wp,status_2026_08_27,owner_of_remaining_work,what_remains,deliverable,residential_sample_acceptance
EU-01,COMPLETED,,,TABULA loader,Counts and provenance reproduce for ES GB IT and the audited France physical-model registry
EU-02,COMPLETED,,,Semantic crosswalk and dense neighbourhood selection,Non-residential and unknown uses are explicitly excluded before modelling; four sites selected 2026-08-24 (ES-MAD-BERRUGUETE GB-LDN-STDUNSTANS IT-BOL-GALVANI2 FR-LYO-HAUTCOEURPENTES) on checksummed official boundaries with NS-01 NS-03 NS-04 NS-05 NS-06 NS-10 passing; NS-02 NOT_MET for the IT and FR sites pending BD TOPO and Bologna ODS acquisition adapters
EU-03,COMPLETED,,,Envelope and internal mass adapter,Construction round-trip passes on S0 and S1 samples
EU-04,IN_PROGRESS,OpenUBEM,Real-footprint layout; GEO-08 re-based by D-EU-04-F,Dwelling and core layout adapter,GEO-01 supplied-partition area count containment gap and overlap audit plus GEO-02 rotation invariance GEO-03 valid non-convex supplied partition GEO-04 strict less-than-8-m narrow feasibility and no-false-dwelling-success fallback GEO-05 courtyard-hole preservation GEO-06 saved-IDF reciprocal wall mate audit GEO-09 named mutations and D-EU-01/D-EU-04 quotient remainder dwelling allocation/external 6 percent core rule pass; owner-ruled half-up n_Storey now covers all GB SyAv rows and each rounded stack conserves A_C_Ref while source floats remain in provenance; a generated three-dwelling layout now completes an EnergyPlus design-day sizing run and still passes the GEO-06 reciprocal audit after readback; the S0 design-day EnergyPlus smoke now covers all four residential typologies (ES SFH FR TH ES MFH ES AB) with a no-severe-diagnostic assertion so S0's geometry-and-IDF-construction scope is complete; owner ruling D-EU-04-F defers GEO-08 Grasshopper parity until after S1-S3 and D-EU-04-E authorizes the live BD TOPO re-acquisition of the France site; an authorized live IGN WFS probe then showed the France observed construction year is present in the source (1
EU-05,IN_PROGRESS,OpenUBEM,S1-S3 and dwelling/core acceptance,Residential HVAC and ventilation adapter,102 ES GB IT controls emit heating-only IdealLoads constant air and all-convective gains; runnable S0 SFH passes local EnergyPlus zone sizing with a nonzero design heating load; control objects are now namespaced per zone so a multi-dwelling building of one archetype no longer collides in EnergyPlus; the owner ruled Option 1 on F_red_temp so the field is a strictly positive source multiplier and the previously fail-closed France row FR.N.AB.10 emits its exact 1.0086438144755208 untruncated while non-positive values still raise; S1-S3 and dwelling-core acceptance remain pending
EU-06,IN_PROGRESS,OpenUBEM,f>0 path blocked on the upstream chaining rule,External occupancy schedule adapter,Schedule:File f=0 path passes locally; f>0 requires the upstream chaining rule and saved-IDF assignment remains outstanding
EU-07,COMPLETED,,,Actual-weather registry,"Weather identity is fixed within each fold; France receives baseline weather before occupant weather/fold alignment; 2026-08-27: fr es uk it all RULED_PINNED_EXCEPTION, 510 of 510 cells executable, 0 of 510 simulated, it granted by ruling D-EU-19 on months 2 and 10; no fold passed gate 5 cleanly; the BLOCKED_CDS_CREDENTIALS status this row previously carried was stale and false"
EU-08,IN_PROGRESS,GSSCanada,Execution of the 510 campaign cells,Campaign and SLURM wrapper,510-row ES GB IT campaign plan and Q3/Q4 list counts pass locally; dependency digest measures IDF schedule weather engine build adapter config and source commit and wraps legacy completion; physical inputs and execution remain pending
EU-09,IN_PROGRESS,GSSCanada,Gate scoring on retained campaign artefacts,Gates and mutation suite,Local G8.0 through G8.16 contracts frozen P01-P12 perturbation cross-tab V8.c single-source fixed bands and V8.d per-archetype saved-IDF geometry audit pass fixtures; retained campaign artefacts remain pending
EU-10,IN_PROGRESS,GSSCanada,Dossier evidence from retained campaign artefacts,Results and dossier,Accounting explicit weather-window annual monthly hourly peak cell records retained CSV extraction within-fold aggregation and a hard-gate dossier contract prevent double counting locally; retained campaign artefacts and final dossier evidence remain pending
