gate_id,task,evidence,status
G8.0,Audit f=0 controls before release of f>0,Generated control report,NOT_RUN
G8.8,Compare scenario result hashes and values,Scenario comparison report,NOT_RUN
G8.9,Mutate one dependency and confirm rerun,Cache mutation report,NOT_RUN
G8.10,Reconcile selected total and components,Meter balance report,NOT_RUN
G8.11,Validate required meter names,Parsed mdd and SQL evidence,NOT_RUN
G8.12,Reopen IDF and schedule path/checksum,Saved-artifact audit,NOT_RUN
G8.13,Verify interpolation setting,Saved-IDF audit,NOT_RUN
G8.14,Validate manifest against measured files,Manifest schema report,NOT_RUN
G8.15,Classify all warnings and errors,Warning taxonomy report,NOT_RUN
G8.16,Join schedule provenance to held-out fold,Fold audit report,NOT_RUN
