topic,contract
ES_GB_IT_occupant_population,24 ES plus 36 GB plus 42 IT equals 102 archetypes
France_physical_scope,Residential preparation geometry IDF weather and controlled baseline simulation are current scope
France_occupant_scope,Held-out diaries and non-zero occupant schedules are future scope
Occupant_sensitivity_grid,"f = 0.00 0.15 0.30 0.50 1.00"
Occupant_campaign_size,510 ES GB IT runs per weather specification including controls
Gain_baseline,Annual mean exactly 3.0 W/m2 for occupant campaign levels
Zoning,One thermal zone per dwelling; no within-dwelling room-location claim
Weather,Actual weather aligned to diary fieldwork for occupant comparisons
Heating_intermittency,Preserve TABULA scalar and do not duplicate thermostat setback
Geometry_and_construction,Record independent provenance and sensitivity assumptions
