gate_id,gate_name,minimum_assertion,initial_status
G8.0,Uninjected control,Control audited before any non-zero case,NOT_RUN
G8.8,Scenario differentiation,Registered outputs differ across f levels,NOT_RUN
G8.9,Stale-output guard,Any dependency change invalidates cache,NOT_RUN
G8.10,Meter tripwire,Component energy reconciles to selected total,NOT_RUN
G8.11,Meter-name validity,All required meters exist and are parseable,NOT_RUN
G8.12,Schedule ingestion,Saved IDF references expected schedule and checksum,NOT_RUN
G8.13,Interpolation setting,Schedule:File Interpolate to Timestep is No,NOT_RUN
G8.14,Manifest completeness,Measured immutable manifest exists per case,NOT_RUN
G8.15,Error and warning triage,No fatal/severe and every warning is classified,NOT_RUN
G8.16,Held-out fold correctness,Country and schedule source satisfy no-leakage rule,NOT_RUN
