osm_id,archetype_id,shape,simple,levels,levels_imputed,cell
way/965718400,SmallHotel,ribbon,False,,1.0,nyc_rural
way/965718401,SmallHotel,ribbon,False,,1.0,nyc_rural
way/965718402,SmallHotel,ribbon,False,,1.0,nyc_rural
way/965718403,SmallHotel,ribbon,False,,1.0,nyc_rural
way/427817498,LargeHotel,L,False,,11.0,la_centre
way/427942886,SmallHotel,compact,True,4,4.0,la_centre
way/428015098,LargeHotel,slab,True,,7.0,la_centre
relation/6366079,LargeHotel,O,False,6,6.0,la_centre
way/401904732,LargeHotel,compact,True,5,5.0,la_urban
way/401910463,SmallHotel,ribbon,False,,2.0,la_urban
way/427274663,LargeHotel,compact,True,,6.0,la_urban
way/428846131,SmallHotel,compact,True,,2.0,la_urban
relation/6374725,SmallHotel,O,False,,2.0,la_urban
way/231123149,LargeHotel,U,False,,5.0,austin_centre
way/328723692,LargeHotel,compact,True,,5.0,austin_centre
way/260180778,LargeHotel,compact,True,,19.0,nyc_centre
way/265301854,LargeHotel,ribbon,False,16,16.0,nyc_centre
way/265301856,LargeHotel,compact,True,,19.0,nyc_centre
way/265301877,LargeHotel,compact,True,19,19.0,nyc_centre
way/265301889,LargeHotel,compact,True,19,19.0,nyc_centre
way/265302168,LargeHotel,U,False,16,16.0,nyc_centre
way/266034056,LargeHotel,compact,True,,19.0,nyc_centre
way/266170533,LargeHotel,ribbon,False,12,12.0,nyc_centre
way/266170536,LargeHotel,cross,False,,6.0,nyc_centre
way/266170538,LargeHotel,compact,True,,8.0,nyc_centre
way/266170539,LargeHotel,ribbon,False,,9.0,nyc_centre
way/266170544,LargeHotel,compact,True,,14.0,nyc_centre
way/266170570,LargeHotel,ribbon,False,,10.0,nyc_centre
way/266170752,LargeHotel,compact,True,,12.0,nyc_centre
way/266170756,LargeHotel,compact,True,,19.0,nyc_centre
way/266170757,LargeHotel,ribbon,False,,10.0,nyc_centre
way/266170763,LargeHotel,T,False,,19.0,nyc_centre
way/266170764,LargeHotel,compact,True,,6.0,nyc_centre
way/266170765,LargeHotel,compact,True,,18.0,nyc_centre
way/266170800,LargeHotel,cross,False,,14.0,nyc_centre
way/283346493,LargeHotel,compact,True,,19.0,nyc_centre
way/288448678,LargeHotel,compact,True,,19.0,nyc_centre
way/292840083,LargeHotel,ribbon,False,17,17.0,nyc_centre
way/292840084,LargeHotel,point,True,17,17.0,nyc_centre
way/293183674,LargeHotel,compact,True,,19.0,nyc_centre
relation/3576201,LargeHotel,O,False,,9.0,nyc_centre
