Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,219845.91157063987,156856.41847072402,567848.4354930558 
 01/01  02:00:00,347900.9210847457,280582.71748927585,727713.1990904543 
 01/01  03:00:00,423430.40039957064,353631.63978930394,814580.9569105403 
 01/01  04:00:00,478219.4370292986,406576.1883095613,879055.3872078104 
 01/01  05:00:00,521278.02077965613,448680.8090330153,926875.3354382368 
 01/01  06:00:00,578805.8625314945,505580.2140390777,992284.4431416757 
 01/01  07:00:00,611199.1609022443,537625.7584854212,1030239.3767021743 
 01/01  08:00:00,650190.5349268906,576384.2795925244,1076337.3810957966 
 01/01  09:00:00,715865.481817547,642359.1998218049,1153053.3347942706 
 01/01  10:00:00,725552.5658670224,660749.8666309745,1152184.021868458 
 01/01  11:00:00,425797.5680518001,394508.339432579,754032.3766524998 
 01/01  12:00:00,55757.97715772278,52033.33594079741,193646.73234592847 
 01/01  13:00:00,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0 
 01/01  18:00:00,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,76825.28098463517 
 01/01  20:00:00,0.0,0.0,200284.00707711626 
 01/01  21:00:00,0.0,0.0,273759.5728549204 
 01/01  22:00:00,22826.352844913345,0.0,319606.3878360576 
 01/01  23:00:00,67852.42609545967,12825.166675812216,376618.1355213827 
 01/01  24:00:00,98778.47149972587,41879.53354881902,416868.3174616592 
 01/02  01:00:00,131115.46181403755,71154.98360599959,444800.1635512084 
 01/02  02:00:00,154017.14898577266,92751.74893563817,460019.62540649186 
 01/02  03:00:00,202737.74824272626,140287.7185961996,506346.33791352314 
 01/02  04:00:00,275864.90289500216,213161.70046046027,581683.6686819138 
 01/02  05:00:00,348217.4027489636,285667.1662653811,656740.4809402144 
 01/02  06:00:00,403243.44082969334,340360.29557953373,716443.7992033986 
 01/02  07:00:00,422930.6821635263,360006.31119462993,734100.3887146428 
 01/02  08:00:00,453929.8032375206,391006.8374480972,764712.7004776761 
 01/02  09:00:00,504943.13143103797,442466.86252661387,820013.5280747439 
 01/02  10:00:00,521540.8553501249,463623.7399551115,826110.0329953938 
 01/02  11:00:00,416442.6316696285,376666.24554685695,659958.5716259789 
 01/02  12:00:00,202337.2437622544,181053.55122103065,344448.88418743724 
 01/02  13:00:00,13489.563718986758,8988.783305483958,77984.02115083009 
 01/02  14:00:00,144503.4673115435,116767.25819398926,256218.2196012698 
 01/02  15:00:00,339478.84010518173,305752.08983021806,514915.3387856227 
 01/02  16:00:00,519111.99307105487,478777.4590003799,751257.4906999661 
 01/02  17:00:00,653877.0094878441,609633.5537512037,937709.2601355463 
 01/02  18:00:00,882708.9038082144,835624.6200442773,1242123.000730938 
 01/02  19:00:00,1007203.3899665754,960770.4612412032,1383613.234480867 
 01/02  20:00:00,1064534.855214721,1018147.8913176812,1450615.9823922603 
 01/02  21:00:00,1101894.8399633481,1055626.2084699178,1495968.454296397 
 01/02  22:00:00,1183614.1078842236,1137591.7019025823,1588432.0334252743 
 01/02  23:00:00,1275055.7682641179,1229365.750661769,1693224.5731621943 
 01/02  24:00:00,1376635.3917157068,1331409.196236619,1817018.3844392619 
 01/03  01:00:00,1484858.8006719423,1440291.3020620635,1953044.8454670536 
 01/03  02:00:00,1594830.9177522126,1548184.3462153187,2126801.6545548383 
 01/03  03:00:00,1685635.3444862561,1638857.7660641475,2252539.5833722055 
 01/03  04:00:00,1749126.8118809918,1702882.4780682381,2337425.643506063 
 01/03  05:00:00,1792293.1108785432,1746572.4040065005,2397500.723966455 
 01/03  06:00:00,1816459.7167789435,1771369.9986794202,2436655.3157905377 
 01/03  07:00:00,1841534.2204565664,1797169.8763255076,2477223.960664166 
 01/03  08:00:00,1863053.5658542484,1819317.6868210128,2510829.7890027054 
 01/03  09:00:00,1884224.2001169492,1840881.9097340484,2539414.821139031 
 01/03  10:00:00,1871137.3834803002,1828807.2019696175,2518063.2066580104 
 01/03  11:00:00,1779490.760292449,1741421.0912506862,2360474.2132880907 
 01/03  12:00:00,1605715.7417164163,1572774.7601094323,2050217.089243873 
 01/03  13:00:00,1395993.3035884004,1368903.3476277501,1711606.0349794957 
 01/03  14:00:00,1222010.5554439384,1202629.1096109413,1489565.090405036 
 01/03  15:00:00,1047903.617357043,1032209.4964793714,1285850.9085668756 
 01/03  16:00:00,816163.8061044337,800702.0676883978,1052311.0494154177 
 01/03  17:00:00,851547.9588784592,828863.2297113204,1226869.4362207681 
 01/03  18:00:00,1514347.6178798135,1472674.0248071146,2139691.0452134972 
 01/03  19:00:00,1787898.5570519415,1745832.963957034,2487731.883288198 
 01/03  20:00:00,1860373.2016900314,1818290.8654221254,2595416.940227409 
 01/03  21:00:00,1971055.1202154777,1927039.9644786492,2735907.373801481 
 01/03  22:00:00,2104936.4662161176,2060161.431560947,2907838.267541826 
 01/03  23:00:00,2156096.27867125,2111805.52030832,2995339.7840543417 
 01/03  24:00:00,2292383.5960133197,2249673.027122133,3199848.3548005773 
 01/04  01:00:00,2473515.881626314,2433744.1822866565,3436813.6083667483 
 01/04  02:00:00,2604517.7862177137,2567336.105373594,3593403.843156135 
