Date/Time,BATIMENT0000000240879681_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879681_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,4502415.995052838,4890619.634418205 
 01/01  02:00:00,4979274.043153624,5430281.411830502 
 01/01  03:00:00,5194105.323206499,5678944.659632041 
 01/01  04:00:00,5348904.564155524,5859336.862442828 
 01/01  05:00:00,5435994.799217219,5963724.824084208 
 01/01  06:00:00,5579697.675275024,6129004.852741078 
 01/01  07:00:00,5656245.299876056,6218962.7469749125 
 01/01  08:00:00,5759020.9202466775,6337235.771932048 
 01/01  09:00:00,5952290.784733951,6554570.557994694 
 01/01  10:00:00,5892121.360983197,6546386.655989364 
 01/01  11:00:00,4406575.946866717,5220208.823461877 
 01/01  12:00:00,2162402.3654420227,2935357.6482437043 
 01/01  13:00:00,725317.5399821994,933420.8067748987 
 01/01  14:00:00,196913.48185245733,0.0 
 01/01  15:00:00,388897.5513768572,0.0 
 01/01  16:00:00,1395381.9673107057,45358.9186167068 
 01/01  17:00:00,2504540.9526390564,1814297.9964077468 
 01/01  18:00:00,3246711.753344239,3278542.7345349956 
 01/01  19:00:00,3577497.9866710296,3693144.4711655136 
 01/01  20:00:00,3789698.039410781,3971404.9641051386 
 01/01  21:00:00,3861312.524970401,4088211.9815835105 
 01/01  22:00:00,3872355.886728091,4131443.9756466476 
 01/01  23:00:00,4019005.845449168,4319229.635028804 
 01/01  24:00:00,4066983.9389701854,4393230.667761484 
 01/02  01:00:00,3999105.6718648733,4336137.291386502 
 01/02  02:00:00,3898312.122540955,4240156.463761757 
 01/02  03:00:00,3926880.1582022645,4283484.019271539 
 01/02  04:00:00,4022176.253419485,4397904.312889461 
 01/02  05:00:00,4136933.62474673,4532434.699199183 
 01/02  06:00:00,4261241.325369136,4675544.244467125 
 01/02  07:00:00,4269397.1395731885,4689519.507377295 
 01/02  08:00:00,4319609.539000144,4749157.598050366 
 01/02  09:00:00,4440654.530526229,4886235.87422688 
 01/02  10:00:00,4424235.813328081,4877918.673614426 
 01/02  11:00:00,3876477.619480592,4355269.632119948 
 01/02  12:00:00,2823248.3221916864,3292028.5384897953 
 01/02  13:00:00,2154148.5063449815,2443822.6081552166 
 01/02  14:00:00,2934002.1583058517,3229211.662515222 
 01/02  15:00:00,3674246.412364561,4056111.445318983 
 01/02  16:00:00,4306172.274165291,4759526.882053637 
 01/02  17:00:00,4804338.967915834,5294202.773439636 
 01/02  18:00:00,6142516.180280548,6771318.179170897 
 01/02  19:00:00,6556249.708347066,7228237.729158998 
 01/02  20:00:00,6672552.993293022,7357621.941878797 
 01/02  21:00:00,6754489.623748839,7448755.436441468 
