Date/Time,BATIMENT0000000240877130_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1343609.560416956,1314272.3958752893,1463266.4561448786 
 01/01  02:00:00,1507063.172812957,1448094.1568159047,1608472.981042889 
 01/01  03:00:00,1586007.3650966645,1505466.6328961034,1671238.7673616172 
 01/01  04:00:00,1642671.1104511716,1546736.2391773583,1715058.6511300202 
 01/01  05:00:00,1678518.0962267974,1570133.1337430335,1739456.0009567512 
 01/01  06:00:00,1730670.2940535862,1609481.2844480984,1782495.0676565925 
 01/01  07:00:00,1761049.8653098135,1631856.770388354,1805461.051247749 
 01/01  08:00:00,1798029.317850321,1661484.720481915,1835951.2078607115 
 01/01  09:00:00,1864216.4762912192,1717966.2098334339,1897166.4276359302 
 01/01  10:00:00,1847748.8189506552,1722823.8620765049,1901593.5207251455 
 01/01  11:00:00,1291673.918097946,1442022.4124068455,1634477.64338217 
 01/01  12:00:00,375149.534847126,1088905.2534104818,1294171.4141729237 
 01/01  13:00:00,0.0,926240.1170594792,1076007.0537377812 
 01/01  14:00:00,0.0,860905.9187851183,964754.273145088 
 01/01  15:00:00,0.0,659060.1880648647,840591.9290240516 
 01/01  16:00:00,0.0,627004.1677058879,842298.1545162846 
 01/01  17:00:00,221732.06920183077,804372.6162206563,953613.5447524925 
 01/01  18:00:00,731446.9626038955,1006877.0619869672,1146280.900757061 
 01/01  19:00:00,879224.711627984,1088267.395615394,1234363.94838959 
 01/01  20:00:00,987847.7652591248,1138138.8963985273,1287299.0187842292 
 01/01  21:00:00,1048343.3901580323,1149373.2260523343,1298675.5553604658 
 01/01  22:00:00,1083713.4343026443,1144928.3521275308,1291457.4776830422 
 01/01  23:00:00,1151935.830530971,1180391.361191299,1324555.4912815813 
 01/01  24:00:00,1188399.9323085803,1191255.774123347,1331982.5631897557 
 01/02  01:00:00,1187054.1721472628,1167752.5092204968,1306296.6215119637 
 01/02  02:00:00,1174217.7616685969,1135598.2737930808,1271911.9844258178 
 01/02  03:00:00,1196682.4047485825,1139605.1528659635,1277535.4147554655 
 01/02  04:00:00,1241991.3097743527,1165646.1832031107,1309477.1880305493 
 01/02  05:00:00,1290384.9522694552,1195163.999443824,1346256.5617939571 
 01/02  06:00:00,1338022.6422113925,1228877.3679712992,1385205.8226456768 
 01/02  07:00:00,1346873.4691355904,1229842.1606150824,1386587.8320078347 
 01/02  08:00:00,1367496.4931894965,1242251.9703100366,1400982.8073143018 
 01/02  09:00:00,1411106.3100169948,1276780.3670321582,1439750.1124825457 
 01/02  10:00:00,1410415.0828712988,1283613.7071155733,1436112.173572618 
 01/02  11:00:00,1219292.1054801212,1187940.6087899315,1306330.351002196 
 01/02  12:00:00,781886.2227896975,1011782.9065069414,1112096.0552311065 
 01/02  13:00:00,468582.68582087226,907708.8229224633,969353.1096286229 
 01/02  14:00:00,848843.9602380028,991266.0834765474,1032261.878844097 
 01/02  15:00:00,1144174.4821148154,1145976.8498636524,1228096.767198857 
 01/02  16:00:00,1368669.6995602986,1304204.3324984552,1427915.2941017281 
 01/02  17:00:00,1537818.776734674,1433562.4778105905,1591643.4335036357 
 01/02  18:00:00,1926832.8027280844,1698169.7934625116,1967688.055696674 
 01/02  19:00:00,2044661.495178899,1787264.7107404766,2079618.4332687662 
 01/02  20:00:00,2082074.2660307724,1817237.7766090133,2112384.6545319543 
 01/02  21:00:00,2107849.860212554,1836471.175845885,2134166.5003390396 
 01/02  22:00:00,2163613.284005549,1884949.4893800025,2186771.9450340956 
 01/02  23:00:00,2235568.63876048,1947486.0187459078,2256356.9985647365 
 01/02  24:00:00,2351538.395738758,2044265.4285226762,2370495.851964929 
 01/03  01:00:00,2491580.6172127747,2160267.5695120823,2509198.5439059264 
 01/03  02:00:00,2576957.7126496015,2271066.900931552,2592895.705504707 
 01/03  03:00:00,2663138.5922832866,2355861.7036594856,2678013.857898635 
 01/03  04:00:00,2730369.8478893284,2415600.67049397,2744408.926985893 
 01/03  05:00:00,2775614.847658646,2456398.978831033,2788971.5528861033 
 01/03  06:00:00,2801175.1453197794,2480842.3308460386,2813949.740944835 
 01/03  07:00:00,2826622.7732969616,2505618.7134705214,2839011.740576878 
 01/03  08:00:00,2848613.465083638,2526565.419331713,2860704.9092602986 
 01/03  09:00:00,2868474.416375901,2544755.143515301,2880301.7294357894 
 01/03  10:00:00,2848771.3890007692,2531905.9228100167,2859663.3686372996 
 01/03  11:00:00,2734857.0936597697,2454140.068094122,2742564.2337506623 
 01/03  12:00:00,2512321.2374460693,2314429.6016001487,2529569.5826953826 
 01/03  13:00:00,2232651.527162346,2196446.405877354,2344152.678188026 
 01/03  14:00:00,1971081.3996612304,2129745.9118027706,2255389.484350698 
 01/03  15:00:00,1685859.1642206227,2060651.3415262592,2216430.0093383063 
 01/03  16:00:00,1455077.0741283034,2004809.074189177,2236725.4655275783 
 01/03  17:00:00,1998997.484134839,2160934.6584310425,2412095.7171081016 
 01/03  18:00:00,2742960.675553378,2555369.8461353234,2843013.1348232073 
 01/03  19:00:00,3039249.9351994367,2801319.1759938095,3123729.261420907 
 01/03  20:00:00,3127710.65916387,2869242.3566181725,3200163.3844829863 
 01/03  21:00:00,3255664.791565446,2972856.4846068877,3318167.1766315307 
 01/03  22:00:00,3410341.3188007292,3101231.053077355,3465133.385250891 
