Date/Time,BATIMENT0000000240879681_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879681_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,3848838.548318687,4142737.970496687 
 01/01  02:00:00,4271219.071437745,4623553.429210995 
 01/01  03:00:00,4461941.343553417,4847162.025401965 
 01/01  04:00:00,4606916.994154438,5018167.362505882 
 01/01  05:00:00,4687078.642839165,5116140.39889829 
 01/01  06:00:00,4811864.79397892,5261288.138789679 
 01/01  07:00:00,4885767.548047908,5349157.187150436 
 01/01  08:00:00,4979592.992766137,5458125.950103401 
 01/01  09:00:00,5141313.730601283,5640592.086214311 
 01/01  10:00:00,5051628.756297429,5599714.984753791 
 01/01  11:00:00,3634589.9636585694,4350977.088166767 
 01/01  12:00:00,1538603.8026865246,2233020.338560716 
 01/01  13:00:00,240979.6429038212,427260.14848545525 
 01/01  14:00:00,0.0,0.0 
 01/01  15:00:00,43860.88314384906,0.0 
 01/01  16:00:00,975126.0871986081,0.0 
 01/01  17:00:00,2045952.108831197,1220120.0022026373 
 01/01  18:00:00,2729136.6696057315,2646127.789562364 
 01/01  19:00:00,3004183.6036243886,3005886.203277832 
 01/01  20:00:00,3184374.3006015606,3255225.8465224076 
 01/01  21:00:00,3240767.2701785914,3361118.7629303215 
 01/01  22:00:00,3255691.582183914,3414228.688673323 
 01/01  23:00:00,3408517.2775866594,3613210.0566307656 
 01/01  24:00:00,3464667.2107888423,3700019.386265619 
 01/02  01:00:00,3395747.2904460314,3644756.1309633492 
 01/02  02:00:00,3297838.9021993396,3554604.6354389945 
 01/02  03:00:00,3310935.266842941,3582573.2137004808 
 01/02  04:00:00,3370528.9992152127,3658454.558534722 
 01/02  05:00:00,3449561.396640485,3754193.8370074774 
 01/02  06:00:00,3552128.228251061,3873925.0521593173 
 01/02  07:00:00,3562644.06594038,3891425.7365287514 
 01/02  08:00:00,3603817.4488577535,3941631.2993909707 
 01/02  09:00:00,3700315.2277699634,4051688.0155070387 
 01/02  10:00:00,3666346.4846666334,4024114.170194504 
 01/02  11:00:00,3120199.9596923757,3503680.4643373517 
 01/02  12:00:00,2114367.6932374085,2494061.7640582444 
 01/02  13:00:00,1496559.1366345896,1703747.467763198 
 01/02  14:00:00,2270084.2685607485,2482206.233047593 
 01/02  15:00:00,2931227.4442674564,3220333.333856079 
 01/02  16:00:00,3481459.1472671996,3832042.4772029673 
 01/02  17:00:00,3917826.958138113,4297355.195432007 
 01/02  18:00:00,5186765.957000374,5696731.157716138 
 01/02  19:00:00,5525652.26728502,6069593.301861294 
 01/02  20:00:00,5610488.493333384,6163664.522746732 
 01/02  21:00:00,5677382.782832118,6237936.996963371 
 01/02  22:00:00,5795939.415532223,6368556.113193728 
 01/02  23:00:00,5963370.184115066,6552718.244615029 
 01/02  24:00:00,6279168.072613648,6899746.577022822 
 01/03  01:00:00,6677748.962892619,7337833.0272575095 
 01/03  02:00:00,6616387.563470352,7267656.899130961 
 01/03  03:00:00,6760188.64876443,7424951.309038297 
 01/03  04:00:00,6918770.254021212,7599049.876596032 
 01/03  05:00:00,7026870.382779429,7717868.385699796 
 01/03  06:00:00,7082525.58815716,7779365.794451978 
 01/03  07:00:00,7137291.709416019,7840130.497119237 
 01/03  08:00:00,7187568.928549217,7895795.648402378 
 01/03  09:00:00,7238006.995761976,7951345.500404036 
 01/03  10:00:00,7183718.241865257,7892130.708698913 
 01/03  11:00:00,6873505.771053924,7553707.37946646 
 01/03  12:00:00,6259931.953252165,6891049.38641162 
 01/03  13:00:00,5623879.9367839685,6193740.265548143 
 01/03  14:00:00,5214048.231945183,5603830.932792351 
 01/03  15:00:00,4986242.195546396,4966034.564303644 
 01/03  16:00:00,5095810.026345259,4443935.459581846 
 01/03  17:00:00,6006820.711684718,5706029.258627059 
 01/03  18:00:00,7299095.167499706,7891157.591822514 
 01/03  19:00:00,8004309.645127665,8693235.83369443 
 01/03  20:00:00,8222364.816736293,8954359.934969135 
 01/03  21:00:00,8565530.216359718,9350320.565178249 
 01/03  22:00:00,8965689.931489155,9804206.967438651 
 01/03  23:00:00,9176787.042716919,10049249.686502988 
 01/03  24:00:00,9665268.515910836,10596989.113657871 
 01/04  01:00:00,10049902.895140942,11026574.069742851 
 01/04  02:00:00,10189658.83175471,11185821.352024656 
 01/04  03:00:00,9881546.246518657,10849428.313192382 
 01/04  04:00:00,9619799.393197283,10562934.041949198 
 01/04  05:00:00,9698851.462405302,10654643.704867955 
 01/04  06:00:00,9820321.471200312,10786178.548416138 
 01/04  07:00:00,9938677.470826417,10915780.516504664 
 01/04  08:00:00,9941155.732124656,10920146.38621789 
 01/04  09:00:00,9925976.062405024,10903741.66236865 
 01/04  10:00:00,9795929.205539403,10768345.009348344 
 01/04  11:00:00,9008321.98767841,9916583.291071255 
 01/04  12:00:00,7705127.80213633,8545839.752182264 
 01/04  13:00:00,6034126.041818089,6693770.81450877 
 01/04  14:00:00,5238666.923785146,5553134.600711369 
 01/04  15:00:00,4895886.974896424,4826841.397459544 
 01/04  16:00:00,4859228.61165516,4330801.82911803 
 01/04  17:00:00,5356047.301136236,4924838.211108629 
 01/04  18:00:00,6208664.14947436,6700459.484773394 
 01/04  19:00:00,6494756.188230197,7043301.142337231 
 01/04  20:00:00,6684026.092871971,7273563.839707654 
 01/04  21:00:00,6674633.220527909,7278021.406121253 
 01/04  22:00:00,6714790.165256464,7326870.5451848665 
 01/04  23:00:00,6694343.0295090685,7315448.074763266 
 01/04  24:00:00,6620933.669729296,7243280.248973032 
 01/05  01:00:00,6754615.533247798,7392976.406664496 
 01/05  02:00:00,6812414.130957378,7465499.182816332 
 01/05  03:00:00,6781324.844251868,7438618.142503124 
 01/05  04:00:00,6812052.3487734,7476627.994081855 
 01/05  05:00:00,6812972.7380965585,7478370.308221509 
 01/05  06:00:00,6791675.330290354,7459305.815504451 
 01/05  07:00:00,6787440.744716113,7456817.111030419 
 01/05  08:00:00,6801749.408283342,7475672.1598263215 
 01/05  09:00:00,6732129.111189871,7403241.36731041 
 01/05  10:00:00,6580969.632060243,7240413.310291027 
 01/05  11:00:00,6298415.913860541,6929815.765674902 
 01/05  12:00:00,5802661.394063473,6388788.725264436 
 01/05  13:00:00,5389519.468719616,5932498.004965166 
 01/05  14:00:00,4863991.047593034,5355339.752434559 
 01/05  15:00:00,4654379.994891822,5122228.261595577 
 01/05  16:00:00,4769401.053504484,5228004.855445018 
 01/05  17:00:00,4882083.311093552,5239985.087956291 
 01/05  18:00:00,5602749.520827157,6154220.33230789 
 01/05  19:00:00,6015382.641752958,6609968.421244197 
 01/05  20:00:00,6306178.87881757,6931224.283935524 
 01/05  21:00:00,6479574.258865372,7122759.0528087085 
 01/05  22:00:00,6420818.902344992,7058116.509625827 
 01/05  23:00:00,6257797.7162299855,6878283.329288403 
 01/05  24:00:00,6001008.790801177,6594130.136561373 
 01/06  01:00:00,5874515.832102183,6453983.132048078 
 01/06  02:00:00,5936227.366771067,6521452.925002955 
 01/06  03:00:00,6028773.587370277,6628006.063815397 
 01/06  04:00:00,6224204.464604025,6850780.330785345 
 01/06  05:00:00,6203786.685756316,6829210.165801525 
 01/06  06:00:00,6109815.951372411,6731335.686573731 
 01/06  07:00:00,6076152.460351241,6695998.294217105 
 01/06  08:00:00,6080318.606619045,6699255.698819148 
 01/06  09:00:00,6064705.915692787,6679989.5370995905 
 01/06  10:00:00,5965905.8077357225,6574410.070832515 
 01/06  11:00:00,5582739.19055775,6168672.981930068 
 01/06  12:00:00,4977196.958457878,5533568.800546277 
 01/06  13:00:00,4455815.046403119,4952181.226509517 
 01/06  14:00:00,4012677.580795922,4351996.244206281 
 01/06  15:00:00,3924084.66263335,4067017.111483244 
 01/06  16:00:00,4252663.864168245,4307992.406878045 
 01/06  17:00:00,4845681.83655011,5044920.418621071 
 01/06  18:00:00,5530009.566501996,6043013.458325987 
 01/06  19:00:00,6030530.3084970685,6603754.881275245 
 01/06  20:00:00,6591378.364068383,7228092.17926737 
 01/06  21:00:00,6914106.358086958,7589760.854276566 
 01/06  22:00:00,7393367.039183017,8122141.271279481 
 01/06  23:00:00,7865613.388462367,8646331.222140938 
 01/06  24:00:00,8058184.761928518,8862348.444203038 
 01/07  01:00:00,7984328.427491905,8784076.898540644 
 01/07  02:00:00,8011380.915215131,8816232.405974682 
 01/07  03:00:00,8111462.5002934635,8928355.742576512 
 01/07  04:00:00,8100753.357820358,8917492.410133157 
 01/07  05:00:00,8092880.901192553,8909071.99382159 
 01/07  06:00:00,8162886.748775627,8986035.814593278 
 01/07  07:00:00,8069378.160359237,8883212.100644162 
 01/07  08:00:00,7863175.243908227,8656016.67080695 
 01/07  09:00:00,7742952.850447239,8523264.61964556 
 01/07  10:00:00,7402683.790648177,8172300.415892788 
 01/07  11:00:00,6001585.415887802,6837151.1216190765 
 01/07  12:00:00,3919291.1503741452,4710795.717822011 
 01/07  13:00:00,2657385.2717356374,3017573.939277959 
 01/07  14:00:00,1578673.6663083418,1088891.2697182617 
 01/07  15:00:00,1500125.71703455,45585.753005564766 
 01/07  16:00:00,2597249.514664358,841507.1076463317 
 01/07  17:00:00,3691526.769980968,2972998.1594704012 
 01/07  18:00:00,4597451.683433077,4801248.350075539 
 01/07  19:00:00,5010820.47978119,5303659.930215121 
 01/07  20:00:00,5025286.604938795,5358508.668392619 
 01/07  21:00:00,5102037.290787932,5475967.053581234 
 01/07  22:00:00,5274165.868053206,5691571.346105364 
 01/07  23:00:00,5309621.335238226,5752676.626895969 
 01/07  24:00:00,5258245.384617401,5713284.118304366 
 01/08  01:00:00,4990766.423061984,5433071.366122951 
 01/08  02:00:00,4862939.021791311,5303451.306420416 
 01/08  03:00:00,4854334.033657821,5302665.959075748 
 01/08  04:00:00,4841872.309151589,5295940.631352999 
 01/08  05:00:00,4871330.475103414,5333794.629293692 
 01/08  06:00:00,5076969.173639911,5564490.437581207 
 01/08  07:00:00,5199459.885779274,5702282.975999016 
 01/08  08:00:00,5172949.820056984,5675522.593895382 
 01/08  09:00:00,5411557.679350401,5939071.799842613 
 01/08  10:00:00,5608895.110045733,6158099.441231625 
 01/08  11:00:00,4947517.295844373,5438566.129357738 
 01/08  12:00:00,4215674.672007082,4669872.661985832 
 01/08  13:00:00,3839721.029081759,4257100.822229381 
 01/08  14:00:00,3425885.3194663837,3707544.8399899304 
 01/08  15:00:00,3030577.3017967734,3030073.4752878854 
 01/08  16:00:00,3724274.020938211,3953269.112688718 
 01/08  17:00:00,3928127.630869286,4007683.998042861 
 01/08  18:00:00,4548607.369839639,4960965.411753549 
 01/08  19:00:00,4627831.521439019,5055723.753700707 
 01/08  20:00:00,4691697.3547553085,5131622.977877512 
 01/08  21:00:00,4905748.443442938,5371571.474210987 
 01/08  22:00:00,5270249.4868085,5776986.6536337 
 01/08  23:00:00,5572714.742415534,6113706.727063341 
 01/08  24:00:00,5741825.069297708,6302596.073605832 
 01/09  01:00:00,6103661.071400983,6703893.814333072 
 01/09  02:00:00,6621772.926667216,7277436.633079315 
 01/09  03:00:00,7240717.208736023,7957630.723742029 
 01/09  04:00:00,7794576.629452821,8565205.012217227 
 01/09  05:00:00,8484426.812449919,9327155.568461915 
 01/09  06:00:00,9257333.33796829,10180195.413020428 
 01/09  07:00:00,9770988.547323665,10746257.230032703 
 01/09  08:00:00,9834623.786364406,10816831.884290364 
 01/09  09:00:00,9495241.575964976,10449573.433949282 
 01/09  10:00:00,8888489.906040633,9785732.275778279 
 01/09  11:00:00,7752499.6375404615,8600599.26366196 
 01/09  12:00:00,6092214.8174315775,6955527.111890327 
 01/09  13:00:00,4858512.190886155,5457208.900227832 
 01/09  14:00:00,4684209.305033488,4874663.33779189 
 01/09  15:00:00,5359215.098288767,5150601.440107405 
 01/09  16:00:00,8579650.284907887,9357088.484214697 
 01/09  17:00:00,7070006.873301829,6935605.228135738 
 01/09  18:00:00,8070731.629597596,8795442.169346806 
 01/09  19:00:00,8467219.86656981,9250155.002098048 
 01/09  20:00:00,8708602.959115608,9527809.108979268 
 01/09  21:00:00,8946023.623498378,9798659.211477999 
 01/09  22:00:00,8927072.49158711,9785630.710170347 
 01/09  23:00:00,8818662.41249884,9672949.872310342 
 01/09  24:00:00,8994601.716622444,9873138.918633973 
 01/10  01:00:00,9119830.613235861,10016297.222600656 
 01/10  02:00:00,9208769.062297523,10118267.241801944 
 01/10  03:00:00,9170698.87070328,10077859.776465721 
 01/10  04:00:00,9124999.364347013,10026321.400556305 
 01/10  05:00:00,9218521.84784923,10128184.921087349 
 01/10  06:00:00,9573448.957405962,10520357.562744383 
 01/10  07:00:00,10008108.730904777,10998959.024512146 
 01/10  08:00:00,9683914.496628733,10641921.906323122 
 01/10  09:00:00,9773957.611390416,10761285.683346368 
 01/10  10:00:00,10219822.815289434,11268304.173948213 
 01/10  11:00:00,9134417.565910086,10213581.94449965 
 01/10  12:00:00,7161344.690643368,8200441.309035861 
 01/10  13:00:00,5128808.152735575,5805420.899385647 
 01/10  14:00:00,3673881.5617021415,3366265.3244223483 
 01/10  15:00:00,4242115.286031266,2894051.4988967814 
 01/10  16:00:00,6111339.453610452,5291804.530789193 
 01/10  17:00:00,6740316.330613446,6827375.925906302 
 01/10  18:00:00,7077719.156884208,7614005.517090646 
 01/10  19:00:00,7178931.7027337495,7762810.432929542 
 01/10  20:00:00,7382859.231370319,8015874.566884259 
 01/10  21:00:00,7517573.840253228,8187145.0998236155 
 01/10  22:00:00,7659691.759540084,8362019.60102972 
 01/10  23:00:00,7777294.719544807,8506298.050167087 
 01/10  24:00:00,7743221.550453391,8482138.660499742 
 01/11  01:00:00,8149400.06114535,8938943.762243059 
 01/11  02:00:00,8387074.573430338,9209136.823550595 
 01/11  03:00:00,8433552.213286055,9267048.174337156 
 01/11  04:00:00,8404040.346772304,9240458.365880085 
 01/11  05:00:00,8321795.640200818,9152660.976474887 
 01/11  06:00:00,8623162.637927748,9471461.137672815 
 01/11  07:00:00,8748456.005278897,9608177.268919382 
 01/11  08:00:00,8767630.937763136,9631973.035795521 
 01/11  09:00:00,9006465.439931205,9902911.705343349 
 01/11  10:00:00,8727608.16783828,9613259.052315552 
 01/11  11:00:00,7544391.313803165,8342920.886689002 
 01/11  12:00:00,6627629.087891986,7355232.537484026 
 01/11  13:00:00,6368789.465207778,7057400.116999798 
 01/11  14:00:00,7036782.229228342,7765668.289851356 
 01/11  15:00:00,7579775.020072428,8349936.772704575 
 01/11  16:00:00,6291140.249391818,6828527.701411635 
