kind,file,live_state,archived_state,verdict
data,openubem/data/loads/elevators_by_archetype.json,"Byte-identical to archive (80/80 lines, diff exit 0).",Same file.,"IDENTICAL, NOT A DIVERGENCE."
code,openubem/idf/elevators.py,Byte-identical to archive. Exists in the live tree and is importable.,Same file.,"FILE ITSELF PRESENT, BUT ORPHANED: nothing in the live openubem/ package imports or calls assign_elevators (confirmed by whole-tree grep -- only this file and the JSON data file mention 'elevator'; builder.py, semantic/loads.py do not)."
code,openubem/idf/builder.py,"Never imports or calls assign_elevators anywhere. hasattr(openubem.idf.builder, 'assign_elevators') is False. The build() method's service-load block calls assign_hvac / assign_dhw / assign_cooking / assign_refrigeration / write_outputs in sequence with NO assign_elevators call between refrigeration and outputs.","Archived build() calls assign_elevators(self.idf, row, extruded_zones) at :509, between assign_refrigeration and write_outputs.","FEATURE MISSING (call site never merged) -- git log --all -S assign_elevators -- openubem/idf/builder.py returns NOTHING: the string was never added or removed in this file's tracked history. The only commit that ever touched 'assign_elevators' (ef19141, 2026-07-21) added it to the ARCHIVED builder.py copy only."
code,openubem/idf/outputs.py,"HVAC_METERS has 13 entries, no Elevators meter.","HVAC_METERS has 14 entries, including 'Elevators:InteriorEquipment:Electricity'.",FEATURE MISSING (one tuple entry).
code,openubem/results/parser.py,"METER_QUERY/_parse_meters_sql omit the elevator meter; _compute_eui sums 9 terms; no elevators_eui_kwh_m2 anywhere (0 occurrences of 'elevator', case-insensitive). ALSO has unrelated additions not in the archive: a resolution_mode parameter and layout_assign/layout_assigner zone-integrity branch in _check_zone_integrity -- this is unrelated drift (live moved on since the archive), not an elevator gap.","Reads Elevators:InteriorEquipment:Electricity meter, emits elevators_eui_kwh_m2, de-folds it from equipment_eui_kwh_m2, sums 10 terms for total_eui_kwh_m2, and _failed_row includes elevators_eui_kwh_m2: nan.","FEATURE MISSING (elevator lines) + UNRELATED DRIFT (resolution_mode lines, live-only, correctly not a missing feature)."
code,openubem/results/carbon.py,9 gwp_* terms; no gwp_elevators_kgco2_m2; gwp_total sums 9 terms.,"gwp_elevators_kgco2_m2 = elevators_eui * f_elec, added to the nan block and to gwp_total_kgco2_m2's sum (10 terms).",FEATURE MISSING.
code,openubem/results/aggregator.py,"_STEP5_COLS omits elevators_eui_kwh_m2 and gwp_elevators_kgco2_m2. ALSO carries an unrelated docstring addition (OPEN-43 fleet-EUI pooling note) not present in the archive -- unrelated drift, not an elevator gap.","_STEP5_COLS includes both elevators_eui_kwh_m2 and gwp_elevators_kgco2_m2, with comments '... + elevators (T05, 10th end-use)' and '... (9 + elevators)'.","FEATURE MISSING (two column entries) + UNRELATED DRIFT (OPEN-43 docstring, live-only)."
test,tests/test_elevators.py,IDENTICAL to archive (diff exit 0). [live pytest result: 28 passed],Same file.,"IDENTICAL -- exercises openubem.idf.elevators.assign_elevators() directly, not through the builder, so it is unaffected by builder.py's missing call site."
test,tests/test_parser_elevators.py,"IDENTICAL to archive (diff exit 0). Still asserts elevators_eui_kwh_m2, the Elevators meter, and gwp_elevators_kgco2_m2 -- the ONE archived twin whose expectation was left in place rather than removed. [live pytest result: 8 failed, 0 passed]",Same file.,"EXPECTATION LEFT IN PLACE (not removed) -- this is the file that still fails live, and per the register is why OPEN-46 surfaced at all."
test,tests/test_outputs.py,test_hvac_meters_count asserts len(HVAC_METERS) == 13 (was 14); test_hvac_meters_phase_e_required's required set drops the elevator meter; test_output_meter_count asserts 13 (was 14). [live pytest result: 11 passed],len(HVAC_METERS) == 14; required set includes 'Elevators:InteriorEquipment:Electricity'; test_output_meter_count asserts 14.,EXPECTATION REMOVED (3 assertions weakened to match the un-merged live code).
test,tests/test_results_aggregator.py,Expected-row dicts (both the all-NaN failure template and the populated success rows) omit elevators_eui_kwh_m2 and gwp_elevators_kgco2_m2. [live pytest result: 29 passed],Both dicts include elevators_eui_kwh_m2: nan/0.0 and gwp_elevators_kgco2_m2: nan/0.0.,EXPECTATION REMOVED (2 keys removed from 2 dict templates = 4 removed assertions).
test,tests/test_step3_orchestrator.py,test_medium_office_idf_contains_elevator_equipment does not exist at all. [live pytest result: 18 passed],"Carries test_medium_office_idf_contains_elevator_equipment, which builds a MediumOffice IDF and asserts exactly one ELECTRICEQUIPMENT object with EndUse_Subcategory == 'Elevators'.",WHOLE TEST DELETED (not an assertion edit -- the entire test method is absent).
