file,line,task_id,title,completed_date,verdict,file_level_detail,symbol_level_detail,pending_note,corrected_verdict,correction_note
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,602,N07,Which step writes the wrong `archetype_id` into `05_results.gpkg`? (OPEN-06),2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open06_mislabel_population.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open06_mislabel_population.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,649,N08,Does the archetype column describe what was actually simulated?,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,677,N09,Read the two forwarded UTCI defects and the backfill reproducibility gap,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,711,N06,"Missing-input census: how many fleet buildings reach both fallbacks, and does OPEN-12 still hold?",2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open35_missing_input_census.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open35_missing_input_census.csv"",on-disk-untracked) || openubem/outputs/comparisons/open35_neither_population.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open35_neither_population.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,745,N12,Is the Title 24 hypothesis even representable in this pipeline?,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,778,N11,Can a `ZoneGroup` list multiplier actually express exact storey matching?,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,817,N10,Assemble the imputation-tier decision the user has never been given,2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-3.md,246,N15,Did the fleet's Stage-1 files ever consume the height backfill? (OPEN-12 / OPEN-14),2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-3.md,283,N14,Is `archetype_id` the only published column current code cannot regenerate? (OPEN-06 §3),2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open06_column_reproducibility.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open06_column_reproducibility.csv"",on-disk-untracked) || openubem/outputs/comparisons/open06_column_reproducibility_diff_examples.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open06_column_reproducibility_diff_examples.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,491,N02,What the labelled-accuracy metric actually measures (OPEN-22),2026-08-06,NEVER-COMMITTED,"openubem/outputs/comparisons/open22_fixture_rule_breakdown.csv=NEVER-COMMITTED(git log --all --oneline --follow -- ""openubem/outputs/comparisons/open22_fixture_rule_breakdown.csv"",on-disk-untracked)",,"ALL never-committed hits are files present-on-disk-but-untracked (pending external commit), not phantom code",NEVER-COMMITTED,"PENDING-EXTERNAL-COMMIT (output CSV on disk, untracked -- matches git status at session start; user commits externally per project convention)"
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,518,N03,"Re-check the four June-audit remnants against HEAD (OPEN-24, 25, 26, 27)",2026-08-06,UNCHECKABLE,,,,UNCHECKABLE,
