record_file,line,task,claimed_artifact,exists_at_head,ever_in_git,verdict
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,602,N07,openubem/outputs/comparisons/open06_mislabel_population.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,649,N08,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,677,N09,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,711,N06,openubem/outputs/comparisons/open35_missing_input_census.csv || openubem/outputs/comparisons/open35_neither_population.csv,True || True,True || True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,745,N12,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,778,N11,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-2.md,817,N10,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-3.md,246,N15,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue-3.md,283,N14,openubem/outputs/comparisons/open06_column_reproducibility.csv || openubem/outputs/comparisons/open06_column_reproducibility_diff_examples.csv,True || True,True || True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,491,N02,openubem/outputs/comparisons/open22_fixture_rule_breakdown.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,518,N03,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,562,N01,openubem/outputs/comparisons/open29_defect_status_trace.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,598,N05,openubem/outputs/comparisons/open34_subset_vs_fullcell.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_no-compute-queue.md,642,N04,openubem/outputs/comparisons/open06_mislabel_population.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,489,M02,openubem/outputs/comparisons/open02_eio_inventory.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,541,M01,openubem/outputs/comparisons/open01_denominator_factors.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,575,M05,openubem/outputs/comparisons/open28_t08_t20_join.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,625,M03,openubem/outputs/comparisons/open03_load_vintage_ratios.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,673,M04,openubem/outputs/comparisons/open04_accuracy_by_commit.csv,True,True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,736,E01,scripts/cluster/t08_local_remainder.py || RETAIN_FILENAMES@scripts/cluster/t08_local_remainder.py,True || True,True || True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,789,E01b,scripts/cluster/t08_local_remainder.py || run_simulations@scripts/cluster/t08_local_remainder.py,True || True,True || True,PRESENT
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,877,M06,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,907,M06b,,,,UNCHECKABLE
docs/docs_ACTIVE/openings/implemenation/PLAN_published-numbers.md,938,E01c,scripts/cluster/t08_full_sweep.py,True,True,PRESENT
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,111,T01,openubem/semantic/building_classifier.py || _normalise_use_class@openubem/semantic/building_classifier.py || _apply_rule_table@openubem/semantic/building_classifier.py || classify_building@openubem/semantic/building_classifier.py,True || True || True || True,True || True || True || True,PRESENT
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,117,T02,openubem/data/osm_to_use_class.json,True,True,PRESENT
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,123,T03,tests/test_building_classifier.py || test_rule_16_no_dominant@tests/test_building_classifier.py,True || True,True || True,PRESENT
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,129,T04,"tests/test_building_classifier.py || openubem/data/osm_to_use_class.json || tests/fixtures/chicago_loop_500m.gpkg || test_i01_new_tag_spot_checks@tests/test_building_classifier.py || test_service_not_remapped_to_commercial@tests/test_building_classifier.py || TestUseClassMapping@tests/test_building_classifier.py ||AUDIT NOTE: test_i01_new_tag_spot_checks / test_service_not_remapped_to_commercial / TestI01FixtureDiffRegression: none ever committed to tests/test_building_classifier.py, in any commit, confirmed by direct git log -S on the exact file plus a direct grep of HEAD content -- confirmed audit",True || True || True || False || False || True,True || True || True || False || False || True,NEVER-COMMITTED -> GENUINE-GAP
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,137,T05,,,,UNCHECKABLE
docs/docs_DONE/BUGS/input-framework/PLAN_input-framework-classification-fixes.md,143,T06,,,,UNCHECKABLE
