column,n_compared,pct_rows_differ,median_rel_when_differ,pct_of_differing_rows_above_1pct,max_rel_diff,max_rel_note,materiality_verdict
zoning_strategy,8160,0.26%,,,,categorical,DIFFERS (code drift; immaterial count)
heating_eui_kwh_m2,8153,~100%,0.00084,,156376,near-zero-fixture-value artefact,DIFFERS (negligible magnitude)
cooling_eui_kwh_m2,8153,~100%,0.00113,,0.927,,DIFFERS (negligible magnitude)
lighting_eui_kwh_m2,8153,100%,0.00002,,0.807,,DIFFERS (negligible magnitude)
equipment_eui_kwh_m2,8153,100%,0.00002,,0.969,,DIFFERS (negligible magnitude)
fans_eui_kwh_m2,8153,~100%,0.00017,,0.984,,DIFFERS (negligible magnitude)
pumps_eui_kwh_m2,8153,6.68%,0.0148,53.6%,1.0,,DIFFERS (materially different subset)
dhw_gas_eui_kwh_m2,8153,20.37%,0.00147,20.9%,1.0,,DIFFERS (moderate, minority tail)
dhw_elec_eui_kwh_m2,8153,79.7%,0.00002,0.37%,1.0,,DIFFERS (negligible magnitude)
dhw_eui_kwh_m2,8153,~100%,0.00002,,0.962,,DIFFERS (negligible magnitude)
cooking_eui_kwh_m2,8153,1.63%,,,0.0001,,DIFFERS (negligible)
refrigeration_eui_kwh_m2,8153,0.06%,,,0,effectively identical,REPRODUCES (in practice)
total_eui_kwh_m2,8153,100%,0.0145,51.4%,0.855,OPEN-60-defective column; not a valid energy figure,DIFFERS (largest movement; caution)
gwp_heating_kgco2_m2,8153,~100%,0.00084,,1.0,,DIFFERS (negligible magnitude)
gwp_cooling_kgco2_m2,8153,~100%,0.00113,,0.927,,DIFFERS (negligible magnitude)
gwp_lighting_kgco2_m2,8153,100%,0.00002,,0.807,,DIFFERS (negligible magnitude)
gwp_equipment_kgco2_m2,8153,100%,0.00002,,0.969,,DIFFERS (negligible magnitude)
gwp_fans_kgco2_m2,8153,~100%,0.00017,,0.984,,DIFFERS (negligible magnitude)
gwp_pumps_kgco2_m2,8153,6.68%,0.0148,53.6%,1.0,,DIFFERS (materially different subset)
gwp_dhw_kgco2_m2,8153,~100%,0.00002,,0.956,,DIFFERS (negligible magnitude)
gwp_cooking_kgco2_m2,8153,1.63%,,,1.0,,DIFFERS (negligible)
gwp_refrigeration_kgco2_m2,8153,0.06%,,,0,effectively identical,REPRODUCES (in practice)
gwp_total_kgco2_m2,8153,100%,0.0145,51.4%,0.865,OPEN-60-defective column; not a valid energy figure,DIFFERS (largest movement; caution)
iod,8153,46.65%,0.00083,19.2%,15928,near-zero-fixture-value artefact,DIFFERS (moderate, minority tail; cause not established)
simulation_status,8160,0.012%,,,,categorical,DIFFERS (1 row; immaterial)
error_summary,8160,0%,,,,,REPRODUCES
