cell,stem,is_fatal,is_open09,n_zones,n_stub,frac_stub,vol_ratio
austin_centre,relation_13781131,False,False,45,40,0.888889,0.697332
austin_centre,relation_7480583,False,False,45,45,1.000000,0.000426
austin_centre,way_1008727466,False,False,1,1,1.000000,0.034788
austin_centre,way_1008727467,False,False,1,1,1.000000,0.029765
austin_centre,way_1008727468,False,False,1,1,1.000000,0.038615
austin_centre,way_1008727469,False,False,1,1,1.000000,0.034950
austin_centre,way_1008727470,False,False,1,1,1.000000,0.032482
austin_centre,way_1020753276,False,False,1,1,1.000000,0.009150
austin_centre,way_1020754973,False,False,2,2,1.000000,0.009392
austin_centre,way_1020754974,False,False,14,12,0.857143,0.339812
austin_centre,way_1020979628,False,False,1,1,1.000000,0.013201
austin_centre,way_1020979629,False,False,1,1,1.000000,0.010373
austin_centre,way_1020979630,False,False,1,1,1.000000,0.022857
austin_centre,way_1021167043,False,False,1,1,1.000000,0.026109
austin_centre,way_1021167044,False,False,1,1,1.000000,0.020346
austin_centre,way_1021167045,False,False,1,1,1.000000,0.008814
austin_centre,way_1022725553,False,False,1,1,1.000000,0.065651
austin_centre,way_1025013853,False,False,112,64,0.571429,0.558768
austin_centre,way_1029943785,False,False,1,1,1.000000,0.006297
austin_centre,way_1029943786,False,False,5,5,1.000000,0.000936
austin_centre,way_1032979883,False,False,1,1,1.000000,0.006325
austin_centre,way_1034698229,False,False,1,1,1.000000,0.011698
austin_centre,way_1034702476,False,False,1,1,1.000000,0.021961
austin_centre,way_1039387743,False,False,1,1,1.000000,0.002041
austin_centre,way_1039387744,False,False,1,1,1.000000,0.006980
austin_centre,way_1039387745,False,False,1,1,1.000000,0.002934
austin_centre,way_1039387746,False,False,1,1,1.000000,0.031906
austin_centre,way_1039387747,False,False,1,1,1.000000,0.027221
austin_centre,way_1039387750,False,False,1,1,1.000000,0.109553
austin_centre,way_1039387756,False,False,1,1,1.000000,0.102077
austin_centre,way_1039387757,False,False,1,1,1.000000,0.066834
austin_centre,way_1039387764,False,False,1,1,1.000000,0.012161
austin_centre,way_1051117928,False,False,2,2,1.000000,0.009655
austin_centre,way_1120921408,False,False,48,48,1.000000,0.000558
austin_centre,way_112834453,False,False,39,36,0.923077,0.647352
austin_centre,way_112834456,False,False,1,1,1.000000,0.001492
austin_centre,way_112834472,False,False,25,20,0.800000,0.465960
austin_centre,way_112834493,False,False,20,20,1.000000,0.000655
austin_centre,way_112834500,False,False,27,24,0.888889,0.654477
austin_centre,way_112834509,False,False,1,1,1.000000,0.004786
austin_centre,way_112836380,False,False,1,1,1.000000,0.001665
austin_centre,way_112836382,False,False,1,1,1.000000,0.001263
austin_centre,way_112836384,False,False,1,1,1.000000,0.001943
austin_centre,way_112836385,False,False,1,1,1.000000,0.001143
austin_centre,way_112836386,False,False,1,1,1.000000,0.003780
austin_centre,way_1134169120,False,False,1,1,1.000000,0.013058
austin_centre,way_1134169121,False,False,1,1,1.000000,0.020285
austin_centre,way_1134169122,False,False,1,1,1.000000,0.009525
austin_centre,way_1134169124,False,False,1,1,1.000000,0.018785
austin_centre,way_1135532954,False,False,1,1,1.000000,0.008311
austin_centre,way_1213502014,False,False,1,1,1.000000,0.010030
austin_centre,way_1213502015,False,False,1,1,1.000000,0.008140
austin_centre,way_1213502016,False,False,1,1,1.000000,0.011475
austin_centre,way_1213502017,False,False,1,1,1.000000,0.010572
austin_centre,way_1213502018,False,False,1,1,1.000000,0.009343
austin_centre,way_1239928162,False,False,1,1,1.000000,0.007588
austin_centre,way_1239928163,False,False,1,1,1.000000,0.013017
austin_centre,way_1243589069,False,False,1,1,1.000000,0.016048
austin_centre,way_1243589070,False,False,1,1,1.000000,0.042689
austin_centre,way_1243589071,False,False,1,1,1.000000,0.056265
austin_centre,way_1243589072,False,False,1,1,1.000000,0.064597
austin_centre,way_1243589074,False,False,1,1,1.000000,0.052589
austin_centre,way_1243589077,False,False,1,1,1.000000,0.057315
austin_centre,way_1311610010,False,False,1,1,1.000000,0.008304
austin_centre,way_1311610011,False,False,1,1,1.000000,0.008306
austin_centre,way_1311610012,False,False,1,1,1.000000,0.008404
austin_centre,way_1317011702,False,False,1,1,1.000000,0.001171
austin_centre,way_134807224,False,False,21,21,1.000000,0.001415
austin_centre,way_134807225,False,False,90,80,0.888889,0.683264
austin_centre,way_134807226,False,False,45,36,0.800000,0.661891
austin_centre,way_134807227,False,False,45,45,1.000000,0.000729
austin_centre,way_134807228,False,False,1,1,1.000000,0.000439
austin_centre,way_134807229,False,False,1,1,1.000000,0.004031
austin_centre,way_134807252,False,False,50,40,0.800000,0.510371
austin_centre,way_134807256,False,False,8,8,1.000000,0.000997
austin_centre,way_134807260,False,False,8,8,1.000000,0.001424
austin_centre,way_134807269,False,False,45,36,0.800000,0.513368
austin_centre,way_135049613,False,False,1,1,1.000000,0.002221
austin_centre,way_135049616,False,False,1,1,1.000000,0.001964
austin_centre,way_135049618,False,False,1,1,1.000000,0.005095
austin_centre,way_135049619,False,False,1,1,1.000000,0.004508
austin_centre,way_135049620,False,False,1,1,1.000000,0.002549
austin_centre,way_135049621,False,False,1,1,1.000000,0.001359
austin_centre,way_135049622,False,False,1,1,1.000000,0.006093
austin_centre,way_135049626,False,False,1,1,1.000000,0.002989
austin_centre,way_1350740813,False,False,1,1,1.000000,0.009863
austin_centre,way_1350740814,False,False,1,1,1.000000,0.024516
austin_centre,way_1350740815,False,False,1,1,1.000000,0.016341
austin_centre,way_1350740816,False,False,1,1,1.000000,0.044099
austin_centre,way_1350740817,False,False,1,1,1.000000,0.015699
austin_centre,way_1350777574,False,False,1,1,1.000000,0.033203
austin_centre,way_1352736089,False,False,1,1,1.000000,0.066230
austin_centre,way_1444415151,False,False,1,1,1.000000,0.011086
austin_centre,way_1507317989,False,False,1,1,1.000000,0.014463
austin_centre,way_1507317990,False,False,1,1,1.000000,0.019870
austin_centre,way_1507538789,False,False,1,1,1.000000,0.008971
austin_centre,way_1507538790,False,False,1,1,1.000000,0.004642
austin_centre,way_1507538791,False,False,1,1,1.000000,0.052695
austin_centre,way_1519744798,False,False,1,1,1.000000,0.114976
austin_centre,way_183289651,False,False,165,150,0.909091,0.801345
austin_centre,way_183289652,False,False,35,28,0.800000,0.611131
