file,line,quote
openubem/outputs/comparisons/open36_completion_record_sweep.csv,110,"docs/docs_DONE/LOADS & SCHEDULES/elevators/PLAN_elevator_loads_implementation.md,175,T05,Results wiring (Elevators as a 10th end-use column),2026-07-14,NEVER-COMMITTED,openubem/results/parser.py=PRESENT(in `git ls-files` at HEAD) || openubem/results/carbon.py=PRESENT(in `git ls-files` at HEAD) || op"
tests/test_parser_elevators.py,5,in total. T05 breaks them out into a mutually-exclusive 10th end-use while keeping
docs/docs_ACTIVE/openings/INVESTIGATION_open-items-register.md,2865,"**What is therefore false as written:** the adopted-baseline phrase ""**elevators, the 10th end-use**"" describes the archived arc, not the live code. **Live, there are 9 reported end-uses and elevators are folded inside equipment.** Every place that phrase appears needs the qualification."
docs/docs_ACTIVE/openings/implemenation/board_published-numbers.html,606,"[""N10"",""Elevators are not the tenth end-use they are described as"",""open"","
docs/docs_ACTIVE/openings/implemenation/board_published-numbers.html,607,"""Found while sorting the failing tests, and larger than the task that found it. <b>The separate reporting line for elevator energy was never added to the live program.</b> It exists only inside the archived copy of the code kept with that arc\'s paperwork. Live, there are nine reported end-uses and "
docs/docs_ACTIVE/openings/implemenation/PLAN_rulings-and-five-items-2026-08-12.md,750,"**Owed to the user, not decided here:** the `test_fine_top1` threshold question, the fate of the 30 stray `.py` files under `docs/`, and whether OPEN-46's elevator breakout gets implemented or the ""10th end-use"" claim gets retracted."
docs/docs_ACTIVE/openings/implemenation/PLAN_three-new-items-2026-08-12.md,252,"### T04 — OPEN-46: the complete live-vs-archived divergence inventory, and every ""10th end-use"" claim **EVIDENCE ONLY**"
docs/docs_ACTIVE/openings/implemenation/PLAN_three-new-items-2026-08-12.md,262,"`docs/PROJECT_CHECKLIST.md` that describes elevators as an end-use, a ""10th end-use"", or otherwise"
docs/docs_ACTIVE/openings/implemenation/PLAN_three-new-items-2026-08-12.md,292,"from ""9 end-uses"" to state both the 10-way breakdown and the guard."
docs/docs_ACTIVE/openings/implemenation/PLAN_three-new-items-2026-08-12.md,304,"its SQL — in that case the correct sentence is *""ten end-uses are reported for runs built after this"
docs/docs_ACTIVE/openings/implemenation/PLAN_three-new-items-2026-08-12.md,424,"| **OPEN-46** | The breakout exists and is guarded, the invariant gate is green, the restored tests pass, **and** every ""10th end-use"" claim is either true or corrected. | The code landing while the prose still overstates it. |"
docs/docs_ACTIVE/openings/prompts/DIRECTOR_PROMPT_openings_2026-08-11.md,280,"| **2b** | 🔴 **NEW 2026-08-12 — OPEN-46: implement the elevator breakout, or retract the ""10th end-use"" claim?** The live parser reports **9** end-uses; the archived elevator arc's own copy of the parser reports 10, including the de-folding of elevators out of equipment. Three of five archived test "
docs/docs_ACTIVE/openings/prompts/DIRECTOR_PROMPT_openings_2026-08-11.md,1015,"arc's own copy of the parser and was never merged. The phrase ""elevators, the 10th end-use"""
docs/docs_ACTIVE/openings/reporting/board_published-numbers.html,606,"[""N10"",""Elevators are not the tenth end-use they are described as"",""open"","
docs/docs_ACTIVE/openings/reporting/board_published-numbers.html,607,"""Found while sorting the failing tests, and larger than the task that found it. <b>The separate reporting line for elevator energy was never added to the live program.</b> It exists only inside the archived copy of the code kept with that arc\'s paperwork. Live, there are nine reported end-uses and "
