osm_id,source,label,emitted,rule_token,confidence,match
405668761,boston_downtown_500m,MidriseApartment,HighriseApartment,RULE_RESIDENTIAL_TIER,MEDIUM,False
117746813,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
240444881,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
240478028,boston_downtown_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
241186244,boston_downtown_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
241929553,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
244444286,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29601034,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29605945,boston_downtown_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
29611456,boston_downtown_500m,TallBuilding,TallBuilding,RULE_HIGHRISE,HIGH,True
29650699,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29650701,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29739835,boston_downtown_500m,LargeOffice,LargeOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29952114,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746567,boston_downtown_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746585,boston_downtown_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746593,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746602,boston_downtown_500m,SmallOffice,SmallOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746604,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
458716891,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
29650708,boston_downtown_500m,OpenUBEMUnknown,MediumOffice,FALLBACK_SIZE_DEFAULT,LOW,False
29943278,boston_downtown_500m,FullServiceRestaurant,FullServiceRestaurant,RULE_FUNCTION_TAG,HIGH,True
29869453,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
816253624,boston_downtown_500m,LargeHotel,LargeHotel,RULE_LODGING_TIER,MEDIUM,True
212122819,boston_downtown_500m,RetailStandalone,RetailStandalone,RULE_FUNCTION_TAG,HIGH,True
241183930,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746566,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746577,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
408746660,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
49733761,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
816289797,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
816291665,boston_downtown_500m,MediumOffice,MediumOffice,RULE_USE_CLASS_SIZE,MEDIUM,True
816922979,boston_downtown_500m,SuperTallBuilding,SuperTallBuilding,RULE_HIGHRISE,HIGH,True
212123007,boston_downtown_500m,OpenUBEMUnknown,OpenUBEMUnknown,FALLBACK_UNKNOWN,LOW,True
