id,defining_site,defining_status,latest_document,latest_date,latest_status_quote,bucket,notes
E-LA-06 (warmup half),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:616,OPEN-BLOCKED-PARTIAL (2026-07-23),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:553,2026-07-26,"Re-attributed, not simply closed -- the SecondarySchool residual was CheckWarmupConvergence, now tracked as the E-LA-14/16/18/19/23 lineage",SUPERSEDED,Absorbed into the warmup-convergence lineage; already on record in OPEN-05 sweep sec4.2
E-LA-06 (flow-balance half),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:616,OPEN-BLOCKED-PARTIAL (2026-07-23),docs_DONE/SETUP/layoutAssigner/DONE/DONE-implementation_plan.md:553,2026-07-26,"The CheckAirLoopFlowBalance piece was never revisited by any later plan",STILL-OPEN,Confirmed still labelled current at HEAD in openubem/geometry/layout_assigner.py:864-865
E-LA-11,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:412,"no explicit OPEN/CLOSED word at header (2026-07-23)",docs_DONE/SETUP/layoutAssigner/DONE/e-la-20/PLAN_e-la-20_investigation.md:13,2026-07-25,"Re-investigating E-LA-11 ... -- all CLOSED, verified fixed at fleet scale, unchanged disposition",CLOSED-ELSEWHERE,Originally closed at CP-B: docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:361 (2026-07-23). Contradicts register OPEN-29's own framing of E-LA-11 as a bare candidate.
E-LA-12,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:424,"OPEN, LATENT/MASKED IN PRODUCTION (2026-07-23)",docs_DONE/SETUP/layoutAssigner/DONE/e-la-20/PLAN_e-la-20_investigation.md:13,2026-07-25,"all CLOSED, verified fixed at fleet scale, unchanged disposition",CLOSED-ELSEWHERE,Fixed structural-fixes T01/T02 (PLAN_structural-fixes_implementation.md:207/213/307), independently re-derived by director (0 hits)
E-LA-13,docs_DONE/SETUP/layoutAssigner/debug/DONE/PLAN_debug_implementation.md:433,OPEN-BLOCKED (2026-07-23),docs_DONE/SETUP/layoutAssigner/DONE/e-la-20/PLAN_e-la-20_investigation.md:13,2026-07-25,"all CLOSED, verified fixed at fleet scale, unchanged disposition",CLOSED-ELSEWHERE,"CP-C signed CLOSED at PLAN_structural-fixes_implementation.md:406 (2026-07-23); fix still live in openubem/idf/builder.py:99,487"
E-LA-15,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:270,OPEN (2026-07-23 T04),docs_DONE/SETUP/layoutAssigner/DONE/e-la-20/PLAN_e-la-20_investigation.md:59,2026-07-25,"already-logged E-LA-15, unrelated sizing-phase signature ... confirmed via direct .err re-inspection ... to retain their original, different signatures",STILL-OPEN,No later document claims a fix; T19 docstring (t19_layout_assign_full_sweep.py:30) also confirms OPEN as of 2026-07-24
E-LA-16,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:279,OPEN (2026-07-23 T04/T05),docs_DONE/SETUP/layoutAssigner/figures/OpenUBEM_results_LayoutAssigner.md:351,2026-07-24,"15/92 residual failures, all confirmed ... to be the already-logged E-LA-16 secondary HVAC-autosize degeneracy",STILL-OPEN,No later document claims a fix
E-LA-17,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:290,OPEN (2026-07-23 T04),docs_DONE/SETUP/layoutAssigner/DONE/e-la-20/PLAN_e-la-20_investigation.md:59,2026-07-25,"already-logged E-LA-17, unrelated persistent-divergence signature ... to retain their original, different signatures",STILL-OPEN,No later document claims a fix
E-LA-18,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:338,OPEN (2026-07-23 T07),docs/PROJECT_CHECKLIST.md:92-106,2026-07-25,"the cosmetic label ... is a claim about accuracy that no one in this lineage has ever tested",STILL-OPEN,Part of unresolved E-LA-14/16/18/19 warmup lineage
E-LA-19,docs_DONE/SETUP/layoutAssigner/DONE/structural-fixes/PLAN_structural-fixes_implementation.md:488,"OPEN, informational (2026-07-24 T10)",docs/PROJECT_CHECKLIST.md:98,2026-07-25,"E-LA-19 reads literally 'Root cause: not fully proven'",STILL-OPEN,Causal mechanism never proven per project's own record
