osm_id,source_fixture,expected_archetype,expected_coarse_class,archetype_id,archetype_confidence,archetype_source,rule_token,fine_match,notes
1280678588,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,tiny 70m2 x 2fl ~141m2 generic downtown -> small commercial default
1281239344,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,6fl x 161m2 = 964m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
1281831066,boston_downtown_500m,MediumOffice,commercial,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office tag 6fl x 1410m2 = 8460m2 in 2322-9290 band -> MediumOffice (E-R3-3 CBES bins)
1390559443,boston_downtown_500m,FullServiceRestaurant,commercial,FullServiceRestaurant,HIGH,RULE_FUNCTION_TAG,RULE_FUNCTION_TAG,True,restaurant function tag direct match
203026968,boston_downtown_500m,OpenUBEMUnknown,commercial,OpenUBEMUnknown,LOW,FALLBACK_UNKNOWN,FALLBACK_UNKNOWN,True,'service' tag (utility/MEP) not in 30-vocab -> fallback
212122959,boston_downtown_500m,OpenUBEMUnknown,commercial,OpenUBEMUnknown,LOW,FALLBACK_UNKNOWN,FALLBACK_UNKNOWN,True,tiny 34m2 1fl service annex -> fallback
240440937,boston_downtown_500m,LargeOffice,commercial,LargeOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,7fl x 1667m2 = 11660m2 generic downtown -> LargeOffice
240540694,boston_downtown_500m,MediumOffice,commercial,LargeOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,False,3714m2 footprint no floor data generic -> mid-office default
241176919,boston_downtown_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 19fl x 726m2 = 13800m2 just below TallBuilding (>=20)
241937979,boston_downtown_500m,MediumOffice,commercial,MediumOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,6fl x 995m2 = 5970m2 in 2322-9290 band -> MediumOffice (E-R3-3 CBES bins)
241978446,boston_downtown_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 13fl x 1743m2 = 22660m2 -> LargeOffice
244539281,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,19m ~6fl x 234m2 = ~1400m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
29566986,boston_downtown_500m,LargeOffice,commercial,LargeOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,11fl x 1253m2 = 13800m2 -> LargeOffice
29611612,boston_downtown_500m,TallBuilding,commercial,TallBuilding,LOW,"RULE_HIGHRISE,HEURISTIC_HEIGHT",RULE_HIGHRISE,True,121m ~37fl >= 20 generic -> TallBuilding
29614103,boston_downtown_500m,SuperTallBuilding,commercial,SuperTallBuilding,MEDIUM,"RULE_HIGHRISE,HEURISTIC_HEIGHT",RULE_HIGHRISE,True,office tag 152m ~46fl >= 40 -> SuperTallBuilding
29715243,boston_downtown_500m,MediumOffice,commercial,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,office 30m ~9fl x 1002m2 = ~9018m2 in 2322-9290 band -> MediumOffice (E-R3-3 CBES bins)
29739835,boston_downtown_500m,LargeOffice,commercial,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,RULE_USE_CLASS_SIZE,True,commercial 11fl x 921m2 = 10130m2 -> LargeOffice
29743533,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,6fl x 267m2 = 1600m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
29804981,boston_downtown_500m,MidriseApartment,residential,MidriseApartment,HIGH,RULE_RESIDENTIAL_TIER,RULE_RESIDENTIAL_TIER,True,apartments tag 7fl < 9 -> MidriseApartment
405668717,boston_downtown_500m,MidriseApartment,residential,HighriseApartment,MEDIUM,"RULE_RESIDENTIAL_TIER,GROUPMEDIAN_LEVELS_MED",RULE_RESIDENTIAL_TIER,False,apartments tag no floor data -> MidriseApartment default
405668798,boston_downtown_500m,SmallOffice,commercial,SmallOffice,LOW,FALLBACK_SIZE_DEFAULT,FALLBACK_SIZE_DEFAULT,True,5fl x 377m2 = 1883m2 < 2322 -> SmallOffice (E-R3-3 CBES bins)
