board_row,board_title,register_id,register_state,verdict,evidence
NEW,"the 158 is an average of averages",OPEN-43,struck (retired),STALE-CLOSED,"register.md:729 ~OPEN-43~ CLOSED 2026-08-12 on the user's ruling, formally retired 2026-08-13 (ruling 2h); pooled 157.1 kWh/m2 adopted as headline"
NEW2,"106 hidden test failures",OPEN-44,struck (retired),STALE-CLOSED,"register.md:730 ~OPEN-44~ CLOSED + ID RETIRED 2026-08-13; 0 failed / 1,859 passed / 55 skipped / 0 errors, CP-1 signed"
N6,"completion records: six, not one",OPEN-36,struck (retired),STALE-CLOSED,"register.md:721 ~OPEN-36~ CLOSED + ID RETIRED 2026-08-13; corrected at source, dated CORRECTION banner in the frozen record"
N10b,"a completed task whose code was never in the project",OPEN-36,struck (retired),STALE-CLOSED,"register.md:721 (same item as N6) ~OPEN-36~ CLOSED + ID RETIRED 2026-08-13"
N10,"elevators are not the tenth end-use",OPEN-46,struck (retired),STALE-CLOSED,"register.md:732 ~OPEN-46~ CLOSED + ID RETIRED 2026-08-18 (T01 of PLAN_four-items-2026-08-18.md); all four reporting-chain links verified at HEAD, 65/65 targeted tests + full suite green"
O2,"the headline run cannot be reproduced",OPEN-48,struck (retired),STALE-CLOSED,"register.md:734 ~OPEN-48~ CLOSED + ID RETIRED 2026-08-18 (late); open48_refleet3 re-run made, OPEN-49 fix moves classified buildings <0.08%"
Q3,"the tests quietly edit a stored dataset",OPEN-50,struck (retired),STALE-CLOSED,"register.md:742 ~OPEN-50~ FIXED + ID RETIRED 2026-08-13; fixture now writes to tmp_path_factory"
T7,"the data-centre fix, waiting on you",OPEN-55,live (NOT struck),STALE-RULED,"register.md:740 RULED (user, R1, 2026-08-19): Option B+, IMPLEMENTED same day (T01); the specific ask (where the line falls) is answered. CAVEAT: OPEN-55 itself stays live -- NOT CLOSED, acceptance test blocked by OPEN-57, unproven in simulation"
U6,"still waiting on you",OPEN-55,live (NOT struck),STALE-RULED,"same as T7 -- register.md:740"
V7,"two closures waiting on you",OPEN-42 + OPEN-11 (ruling R2),struck (both retired),STALE-RULED,"PLAN_ten-items-2026-08-19.md:1266 T09 'Execute ruling R2' completed 2026-08-19; register.md:728 (~OPEN-42~ CLOSED 2026-08-19 T09 ruling R2) and :696 (~OPEN-11~ CLOSED 2026-08-19 T09 ruling R2)"
W11,"four closures waiting on you",OPEN-42 + OPEN-11 + OPEN-07 + OPEN-08 (ruling R2),struck (all four retired),STALE-RULED,"PLAN_ten-items-2026-08-19.md:1266 T09 completed 2026-08-19, all four closed+retired; register.md:728,696,692,693 all read CLOSED 2026-08-19 (T09, ruling R2)"
W9,"how exposed the evidence is, in gigabytes",OPEN-53 (ruling R3),live (OPEN-53 not struck; the GB action is done),STALE-RULED,"MEASUREMENT_open-53_evidence-preservation_2026-08-19.md:94 '323 files, 12,565,016 bytes (11.98 MB, 0.0126 GB)' copied and hash-verified 2x; PLAN_ten-items-2026-08-19.md:1202 T10 'Execute ruling R3' completed 2026-08-19. OPEN-53 itself stays open (register.md line 196 of that MEASUREMENT doc: 'OPEN-53 stays open')"
W6,"a big number that must not be quoted",OPEN-35,live (NOT struck),OPEN -- DISAGREES WITH PROVISIONAL TABLE,"register.md:720 OPEN-35's own X04 finding (2026-08-18 overnight) states the identical numbers as W6 (+47.9% gap is composition/nyc_suburban confound, 4 lower/4 higher within cells). W6 is NOT a separate closed measurement with 'no live item' -- it IS OPEN-35's X04 finding, and OPEN-35 is live. Provisional table's 'no live item...done' verdict is WRONG; correct verdict is OPEN, folds into OPEN-35."
N05b,"two different guesses for the same missing storey count",OPEN-35,live (NOT struck),OPEN,"register.md:720 OPEN-35 live -- 'Still open, the intended-fallback question is a DESIGN decision, not a measurement.' 2,611/8,160=32.00% fleet, 1,031 given mid/high-rise archetype and built at one storey"
N3,"the literature check came back worse than empty",OPEN-47,live (NOT struck),OPEN,"register.md:733 OPEN-47 live; source found (Chen Hong & Piette 2017) but classifier tests area only, source tests area AND floor count; needs a ruling, gated behind fixture ruling 2a"
W8,"eight inherited defects, finally decidable",OPEN-29,live (NOT struck),OPEN,"register.md:714 OPEN-29 live; adoption material exists (X07/T08), needs a director ruling on adopt/retire per ID -- see T02 re-derivation"
X10,"two new problems found by accident",OPEN-57 + OPEN-58,live (NOT struck),IN-FLIGHT (authorized, not yet started),"PLAN_open-57-and-58_2026-08-19.md:1-8 user authorised 'commencer les deux' 2026-08-19; Sec8 progress log empty as of this check -- 0 tasks completed yet, so 'in flight' means authorised/queued, not actively executing"
