stem,cell,stage,source_file,footprint_area_m2,polygon_area_m2,note
way_472960972,la_rural,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/01_buildings.gpkg,3416.962932731226,3416.962932731226,real OSM-derived footprint; levels=nan; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_472961034,la_rural,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/01_buildings.gpkg,1398.4997685593507,1398.4997685593507,real OSM-derived footprint; levels=nan; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_472961088,la_rural,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/01_buildings.gpkg,1555.8767828881068,1555.8767828881068,real OSM-derived footprint; levels=nan; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_472961091,la_rural,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/01_buildings.gpkg,1355.2271105475404,1355.2271105475404,real OSM-derived footprint; levels=nan; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_472961171,la_rural,1_acquisition,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/01_buildings.gpkg,22443.657684166334,22443.657684166334,real OSM-derived footprint; levels=nan; geometry.area (EPSG:32611) matches stored footprint_area_m2 exactly
way_472960972,la_rural,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_472961034,la_rural,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_472961088,la_rural,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_472961091,la_rural,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_472961171,la_rural,2_3_enrichment_idf,NONE FOUND ON DISK (03_manifest.parquet does not exist for this cell),,,no persisted Stage-2/3 artifact; enrichment + IDF build run in-memory inside scripts/validation/v12_cell_pipeline.py in the same process that writes 04_simulation_manifest.parquet and 05_results
way_472960972,la_rural,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=26"
way_472961034,la_rural,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=7"
way_472961088,la_rural,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=8"
way_472961091,la_rural,4_sim_manifest_phaseE,docs/docs_VALIDATION/validations/overAll/results/phaseE/la_rural/04_simulation_manifest.parquet,,,"no footprint_area_m2 column in this file; status=failed, n_severe=32"
