cell,n_buildings,levels_usable,levels_missing_null,height_usable,height_missing_null,height_missing_zero,height_missing_total,pct_no_height_m,n_neither_levels_nor_height,pct_neither
austin_centre,413,118,295,64,349,0,349,84.5,247,59.81
austin_rural,245,1,244,0,245,0,245,100.0,244,99.59
austin_suburban,437,46,391,323,114,0,114,26.09,74,16.93
austin_urban,425,4,421,378,47,0,47,11.06,43,10.12
la_centre,226,79,147,181,45,0,45,19.91,31,13.72
la_rural,149,3,146,148,1,0,1,0.67,0,0.0
la_suburban,1343,6,1337,1328,15,0,15,1.12,15,1.12
la_urban,618,31,587,576,42,0,42,6.8,29,4.69
nyc_centre,738,136,602,617,121,0,121,16.4,107,14.5
nyc_rural,198,0,198,0,198,0,198,100.0,198,100.0
nyc_suburban,1589,0,1589,0,1589,0,1589,100.0,1589,100.0
nyc_urban,1779,17,1762,1739,40,0,40,2.25,34,1.91
FLEET_TOTAL,8160,441,7719,5354,2806,0,2806,34.39,2611,32.0
