building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
relation/12582232,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,18,18,5,1089.3143,1089.2109,-0.009492
relation/12582233,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,14,14,2,1445.2265,1445.3732,0.010151
relation/12582234,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,21,21,5,1696.2497,1696.2127,-0.002181
relation/12586384,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,7,7,1,2208.1458,2208.1458,0.0
relation/12628570,ES-MAD-BERRUGUETE,NOT_PRESENT,DWELLING_LAYOUT_EMITTED,NA,N,,21,6,,1732.2151,
relation/12628571,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,FALLBACK_PENDING_LAYOUT,N,Y,39,6,1,1785.3612,1785.3522,-0.000504
relation/12628572,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4,4,1,3644.9371,3644.9371,0.0
relation/12638102,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1,1,1,293.3104,293.3479,0.012785
relation/12638103,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,27,27,6,1959.5629,1959.5458,-0.000873
relation/12700585,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,24,24,4,2740.6914,2740.6898,-5.8e-05
relation/12700645,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,39,39,6,1954.8024,1954.7715,-0.001581
relation/12702624,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4,4,1,986.5181,986.5181,0.0
relation/12702625,ES-MAD-BERRUGUETE,NOT_PRESENT,DWELLING_LAYOUT_EMITTED,NA,N,,9,3,,617.5492,
relation/12702626,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,4,4,1,922.7491,922.7491,0.0
relation/12702627,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,16,16,4,938.589,938.589,0.0
relation/12702628,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,15,15,5,608.5655,608.7233,0.02593
relation/12702629,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12,12,2,1500.8914,1500.8914,0.0
relation/12702630,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,16,16,3,2385.9561,2385.3653,-0.024762
relation/12702631,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12,12,3,580.5377,580.4803,-0.009887
relation/12702632,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1,1,1,218.9748,218.9139,-0.027811
relation/12704090,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,30,30,6,3330.2566,3330.0421,-0.006441
relation/12706920,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,12,12,4,453.012,452.9726,-0.008697
relation/12707194,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,DWELLING_LAYOUT_EMITTED,Y,N,4,21,6,1091.6777,1091.6861,0.000769
relation/12707195,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,2,2,1,284.6124,284.6124,0.0
relation/12713025,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,17,17,6,1331.3285,1331.3258,-0.000203
relation/12713026,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8,8,3,1503.8508,1504.0357,0.012295
relation/12720242,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1,1,1,99.6159,99.6117,-0.004216
relation/12725306,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8,8,3,919.8802,919.8903,0.001098
