Date/Time,RELATION_12771675_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12771675_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12771675_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/01  01:00:00,22371785.792690653,23420212.39061221,39181899.338267155 
 01/01  02:00:00,23366135.91842261,24478767.920119543,40883861.38287157 
 01/01  03:00:00,23452897.971245196,24586395.28074498,41034135.23442158 
 01/01  04:00:00,23826884.61541019,24993953.239566483,41639608.45486658 
 01/01  05:00:00,24172773.77698636,25373806.455384642,42146267.414928846 
 01/01  06:00:00,24082206.761973295,25290058.879335195,42052653.629392006 
 01/01  07:00:00,23996956.269155476,25206853.591605317,41898242.08275453 
 01/01  08:00:00,24084572.132672243,25307855.738756068,41994092.23800663 
 01/01  09:00:00,24146304.21519719,25384013.655739672,41985073.21098475 
 01/01  10:00:00,23550908.199471246,24786753.882997796,40653211.91657768 
 01/01  11:00:00,21826059.85283016,23073635.252936564,36635851.07148108 
 01/01  12:00:00,19004165.700785056,20221441.165962636,31052841.632737894 
 01/01  13:00:00,16621497.811274532,17799061.08925299,26571982.79344631 
 01/01  14:00:00,15554183.746241767,16685820.977806002,24626920.122989763 
 01/01  15:00:00,14110240.132742856,15223483.04355003,22414017.471335553 
 01/01  16:00:00,10802632.021505086,11845258.811027102,17471151.41459321 
 01/01  17:00:00,9762362.851229746,10754683.700397022,17394061.028623514 
 01/01  18:00:00,10294604.816484308,11177470.280376662,20144610.140233193 
 01/01  19:00:00,16874209.02682819,17627597.67823977,29963980.911815975 
 01/01  20:00:00,17862272.48248197,18667996.474098794,31470052.32977151 
 01/01  21:00:00,18367400.524014983,19196478.719808284,32388901.663312584 
 01/01  22:00:00,18905739.033366833,19763081.26334621,33273633.270089768 
 01/01  23:00:00,19935826.791209236,20848068.38881444,35195498.11740011 
 01/01  24:00:00,20776716.32042048,21744002.991247132,36602829.13383041 
 01/02  01:00:00,20960597.147066325,21945812.88522006,37128224.13692685 
 01/02  02:00:00,21115464.260366555,22119551.389409564,37885131.46223969 
 01/02  03:00:00,21469105.059216544,22509134.46766516,38977565.824114 
 01/02  04:00:00,23218471.35124737,24360637.80940603,42235366.84944916 
 01/02  05:00:00,25001628.599513087,26253533.807803486,45372969.72395201 
 01/02  06:00:00,25686256.47714408,26995215.77222746,46414407.25638408 
 01/02  07:00:00,25820346.867308848,27155767.3281094,46465310.173536696 
 01/02  08:00:00,25009032.856318828,26325410.227989044,45224702.800180495 
 01/02  09:00:00,24269518.029445514,25558563.074728608,44290293.629126765 
 01/02  10:00:00,23314451.016765144,24556208.317995917,42439834.08812337 
 01/02  11:00:00,21289710.319733106,22324339.736768536,36099456.409414895 
 01/02  12:00:00,17653491.3782671,18273442.15885656,26076836.268381853 
 01/02  13:00:00,14561674.395935759,14818121.702853741,18700709.33886982 
 01/02  14:00:00,12866753.366794229,12952021.62995672,15079826.173940092 
 01/02  15:00:00,13360911.05077852,13522129.765662646,16455097.722506005 
 01/02  16:00:00,13132726.419885483,13335835.268713932,17050471.245919745 
 01/02  17:00:00,12210809.965894721,12450064.816103466,17275872.688109607 
 01/02  18:00:00,12457309.88156804,12798609.086783268,20421970.558294624 
 01/02  19:00:00,17508476.508544378,18055976.442862332,29614923.688512713 
 01/02  20:00:00,18433795.557609674,19044331.65171839,31303454.13997125 
 01/02  21:00:00,18949141.150230147,19624673.45910097,32674026.42516147 
 01/02  22:00:00,19220946.36418762,19950790.598895878,33516919.802471124 
 01/02  23:00:00,19877116.377486803,20667348.00536998,34659612.942090616 
 01/02  24:00:00,20323058.453350697,21159200.613480005,35113783.49055307 
 01/03  01:00:00,20636277.31887759,21501951.377230857,35396818.24208048 
 01/03  02:00:00,21431578.95418268,22354571.716536492,37115120.50946843 
 01/03  03:00:00,22018436.290870197,22996032.16455709,38836240.42455792 
