Date/Time,BATIMENT0000000240877101_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,3703717.8017845494,2869580.7332310597,3213714.623863387,7154545.379583847 
 01/01  02:00:00,4069257.5855621486,3257761.3839522246,3652858.945824387,8019922.803660256 
 01/01  03:00:00,4256618.515759663,3459895.672914031,3883088.387720764,8424943.688398087 
 01/01  04:00:00,4361757.300628152,3578991.696189606,4028538.998967694,8719863.72031625 
 01/01  05:00:00,4438213.525621379,3666385.6658710106,4134604.3087069523,8908346.614108473 
 01/01  06:00:00,4580615.04997565,3820780.0767461853,4308509.293938603,9203758.278679892 
 01/01  07:00:00,4634707.638809946,3886136.5109622627,4390708.079147657,9372855.93189296 
 01/01  08:00:00,4709344.52038664,3971155.801136888,4493742.611797963,9587657.316250507 
 01/01  09:00:00,4910091.454263966,4184948.470475359,4727417.2452948,9995152.810350344 
 01/01  10:00:00,5030653.91143114,4309465.42535692,4845110.511747573,10121410.633024132 
 01/01  11:00:00,4398477.345151693,3647985.5308883595,4005923.7939444142,8345593.311890157 
 01/01  12:00:00,3279875.8005021433,2483984.9985036333,2337165.1412165286,5393173.408308073 
 01/01  13:00:00,2366286.6712487186,1516497.705327021,895631.8941627571,3025817.428839184 
 01/01  14:00:00,1801674.6719429477,921683.1137359493,87154.77605288618,1497156.744058913 
 01/01  15:00:00,1538753.7131095335,651880.2977234329,99010.03531211754,770376.1944229103 
 01/01  16:00:00,1697107.324652208,812721.2327415037,658504.2618191364,1496514.7989870487 
 01/01  17:00:00,2094973.6042062812,1186738.0115646347,1203458.5848191725,3313264.04042223 
 01/01  18:00:00,2673531.5914212,1779586.7373173097,1905584.5422070823,4798592.521167724 
 01/01  19:00:00,3025449.391969989,2140126.291531077,2309483.0278604524,5439627.840284832 
 01/01  20:00:00,3250222.918132902,2373114.7317557684,2577619.6747261947,5861897.411853931 
 01/01  21:00:00,3373850.6456566546,2501273.42241708,2726932.867941878,6042153.491492296 
 01/01  22:00:00,3395352.0073753055,2527270.652372946,2769795.542463439,6085017.116155345 
 01/01  23:00:00,3402216.190684203,2543117.189501447,2816559.888205491,6290561.910767764 
 01/01  24:00:00,3389230.9843366444,2537527.299872035,2834881.482792436,6375618.471080079 
 01/02  01:00:00,3402377.5384016363,2550253.975168511,2849593.508726344,6303437.24246382 
 01/02  02:00:00,3399751.100862643,2547402.0413339227,2843807.1508258143,6177305.410930695 
 01/02  03:00:00,3490050.161946175,2638617.2738670604,2937923.890666565,6264767.556442334 
 01/02  04:00:00,3699518.2185580432,2852321.595055543,3158211.009558869,6515276.961280182 
 01/02  05:00:00,3922649.4049792243,3081423.7335961023,3391767.236012928,6794003.230301452 
 01/02  06:00:00,4077834.8926059203,3244706.5442860536,3565567.216642126,7051319.419081504 
 01/02  07:00:00,4098849.314189638,3271320.4595083194,3596806.6616468835,7081010.916880331 
 01/02  08:00:00,4169207.376306466,3346397.9470945373,3676549.4442351568,7189938.423812195 
 01/02  09:00:00,4325319.491521117,3510016.7099414393,3848686.943645758,7451213.983377047 
 01/02  10:00:00,4379344.424689727,3563711.3848070847,3894866.874226527,7546890.605285862 
